,Mean_CP
0,47.80555555555556
1,10.206896551724139
2,14.893617021276595
3,24.508196721311474
4,12.866666666666667
5,70.05454545454545
6,15.0
7,45.270270270270274
8,12.745762711864407
9,31.116666666666667
10,14.793103448275861
11,20.67142857142857
12,25.235294117647058
13,29.46938775510204
14,15.719298245614034
15,7.931034482758621
16,7.833333333333333
17,14.545454545454545
18,10.705882352941176
19,10.133333333333333
20,28.846153846153847
21,15.464285714285714
22,18.661290322580644
23,13.428571428571429
24,24.763157894736842
25,8.952380952380953
26,29.027027027027028
27,29.862068965517242
28,11.733333333333333
29,26.40983606557377
30,47.926829268292686
31,49.45238095238095
32,12.25
33,15.181818181818182
34,40.357142857142854
35,14.666666666666666
36,25.508196721311474
37,26.62962962962963
38,28.82758620689655
39,50.166666666666664
40,10.181818181818182
41,20.612244897959183
42,34.682539682539684
43,11.97080291970803
44,39.291666666666664
45,45.61702127659574
46,26.857142857142858
47,62.310344827586206
48,46.645161290322584
49,10.962962962962964
50,13.341463414634147
51,21.12162162162162
52,6.743589743589744
53,6.333333333333333
54,16.49019607843137
55,30.5
56,38.743589743589745
57,17.9
58,18.142857142857142
59,7.666666666666667
60,39.39473684210526
61,84.92592592592592
62,65.13513513513513
63,57.625
64,31.878048780487806
65,45.82857142857143
66,20.35135135135135
67,78.98507462686567
68,33.16129032258065
69,21.63157894736842
70,54.24
71,119.95238095238095
72,37.46296296296296
73,45.02857142857143
74,43.03846153846154
75,21.944444444444443
76,56.666666666666664
77,5.3
78,9.108695652173912
79,15.880952380952381
80,24.271428571428572
81,52.06521739130435
82,11.79746835443038
83,15.551724137931034
84,9.166666666666666
85,28.26984126984127
86,23.934782608695652
87,5.404761904761905
88,25.25
89,39.92727272727273
90,55.15384615384615
91,12.130434782608695
92,31.541666666666668
93,86.44827586206897
94,19.258064516129032
95,20.6
96,40.15
97,66.6896551724138
98,27.43243243243243
99,23.555555555555557
100,34.32394366197183
101,45.10909090909091
102,42.025
103,70.05714285714286
104,29.636363636363637
105,59.63157894736842
106,10.522727272727273
107,58.0
108,7.193548387096774
109,26.575757575757574
110,43.65
111,15.054545454545455
112,35.3125
113,23.81578947368421
114,53.47727272727273
115,10.365384615384615
116,24.30909090909091
117,28.51923076923077
118,19.48
119,23.323529411764707
120,27.0
121,24.666666666666668
122,18.96153846153846
123,15.836065573770492
124,62.30909090909091
125,48.127272727272725
126,27.192307692307693
127,30.479166666666668
128,19.098360655737704
129,45.0
130,25.714285714285715
131,14.727272727272727
132,23.59375
133,17.80851063829787
134,22.346153846153847
135,12.703703703703704
136,14.113636363636363
137,52.06060606060606
138,38.75581395348837
139,43.220338983050844
140,26.375
141,56.46808510638298
142,17.3015873015873
143,10.4
144,11.560975609756097
145,14.526315789473685
146,21.057142857142857
147,18.85
148,36.125
149,11.333333333333334
150,12.407407407407407
151,11.321428571428571
152,47.80327868852459
153,36.44897959183673
154,31.1875
155,12.384615384615385
156,18.939393939393938
157,30.26530612244898
158,34.72727272727273
159,50.6
160,21.80392156862745
161,7.095890410958904
162,30.895833333333332
163,42.736111111111114
164,48.7037037037037
165,10.448275862068966
166,32.32432432432432
167,20.822580645161292
168,33.275
169,32.38636363636363
170,12.735849056603774
171,22.921348314606742
172,35.4054054054054
173,41.71951219512195
174,23.07843137254902
175,28.5
176,8.36
177,43.229166666666664
178,33.53191489361702
179,25.9
180,27.641025641025642
181,37.59375
182,17.944444444444443
183,35.96363636363636
184,16.63888888888889
185,21.42105263157895
186,12.01923076923077
187,18.639344262295083
188,22.125
189,8.026315789473685
190,9.64
191,11.88
192,17.41176470588235
193,43.06849315068493
194,61.05
195,4.8
196,34.79545454545455
197,23.458333333333332
198,36.436619718309856
199,31.753246753246753
200,62.17391304347826
201,18.166666666666668
202,18.390243902439025
203,33.13414634146341
204,23.22
205,25.36
206,37.451219512195124
207,65.7936507936508
208,26.068181818181817
209,2.488888888888889
210,17.444444444444443
211,12.685714285714285
212,22.65714285714286
213,10.824561403508772
214,59.073170731707314
215,28.607142857142858
216,31.73134328358209
217,49.23529411764706
218,24.305555555555557
219,13.62962962962963
220,25.09090909090909
221,37.4
222,24.18918918918919
223,32.41463414634146
224,21.71186440677966
225,10.571428571428571
226,13.966666666666667
227,18.806451612903224
228,18.11764705882353
229,74.5
230,22.788990825688074
231,20.813953488372093
232,15.446153846153846
233,9.898305084745763
234,44.02173913043478
235,31.214285714285715
236,8.11111111111111
237,12.794117647058824
238,30.055555555555557
239,22.072727272727274
240,12.014705882352942
241,6.24
242,34.116279069767444
243,34.3134328358209
244,16.4390243902439
245,40.09090909090909
246,55.83720930232558
247,11.722222222222221
248,29.8125
249,12.710144927536232
250,41.583333333333336
251,8.411764705882353
252,19.01923076923077
253,26.40740740740741
254,41.675
255,27.413793103448278
256,51.875
257,20.966101694915253
258,0.14583333333333334
