,Mean_CP
0,19.418181818181818
1,10.136363636363637
2,32.58139534883721
3,39.706896551724135
4,10.027027027027026
5,9.222222222222221
6,27.39622641509434
7,11.40625
8,37.390243902439025
9,39.354838709677416
10,40.02777777777778
11,42.160714285714285
12,6.8
13,54.71739130434783
14,4.257142857142857
15,25.681818181818183
16,58.6078431372549
17,51.4390243902439
18,33.26315789473684
19,10.448275862068966
20,44.78431372549019
21,9.944444444444445
22,39.08695652173913
23,15.8
24,28.56756756756757
25,44.705882352941174
26,33.7787610619469
27,29.044444444444444
28,41.58620689655172
29,19.807692307692307
30,38.3968253968254
31,19.344827586206897
32,14.38
33,5.911764705882353
34,13.09375
35,9.692307692307692
36,13.647058823529411
37,5.636363636363637
38,28.677419354838708
39,6.0
40,18.806451612903224
41,17.373831775700936
42,10.74074074074074
43,13.527272727272727
44,8.439024390243903
45,5.166666666666667
46,21.2
47,5.410256410256411
48,19.435897435897434
49,9.794117647058824
50,6.682539682539683
51,8.757575757575758
52,33.63157894736842
53,16.65625
54,27.342105263157894
55,27.294117647058822
56,27.34375
57,6.048780487804878
58,21.696969696969695
59,13.733333333333333
60,41.275
61,21.01923076923077
62,16.354430379746834
63,16.225806451612904
64,12.639344262295081
65,17.37142857142857
66,35.4
67,13.870967741935484
68,12.068181818181818
69,26.96551724137931
70,24.653846153846153
71,23.714285714285715
72,12.482758620689655
73,28.826923076923077
74,8.685185185185185
75,14.903846153846153
76,21.191011235955056
77,63.27777777777778
78,45.40243902439025
79,31.535714285714285
80,7.931818181818182
81,23.77358490566038
82,28.517241379310345
83,38.60655737704918
84,41.96610169491525
85,29.43103448275862
86,43.6140350877193
87,13.685714285714285
88,13.23913043478261
89,11.3
90,29.50793650793651
91,8.88
92,42.984848484848484
93,37.29824561403509
94,17.88372093023256
95,11.885714285714286
96,9.12962962962963
97,46.67567567567568
98,7.641025641025641
99,26.90909090909091
100,46.25714285714286
101,21.784313725490197
102,27.9811320754717
103,7.212121212121212
104,18.53846153846154
105,25.866666666666667
106,37.280701754385966
107,36.94915254237288
108,37.092592592592595
109,9.25
110,22.432835820895523
111,13.956521739130435
112,36.42857142857143
113,62.371428571428574
114,45.24590163934426
115,21.08641975308642
116,50.72093023255814
117,28.236842105263158
118,49.41860465116279
119,41.310344827586206
120,11.213483146067416
121,25.625
122,51.15873015873016
123,15.266666666666667
124,14.2
125,9.05
126,25.169811320754718
127,7.733333333333333
128,26.346938775510203
129,36.27272727272727
130,30.20689655172414
131,38.075
132,26.958333333333332
