,Mean_CP
0,16.977777777777778
1,5.428571428571429
2,21.214285714285715
3,14.185185185185185
4,7.785714285714286
5,9.953488372093023
6,38.54838709677419
7,15.243243243243244
8,13.8
9,18.18
10,32.810810810810814
11,15.53061224489796
12,28.94
13,13.675
14,6.972972972972973
15,12.46875
16,16.114285714285714
17,13.510204081632653
18,48.8
19,17.864864864864863
20,13.680851063829786
21,8.314285714285715
22,5.25
23,17.032258064516128
24,12.0
25,14.7
26,9.5
27,20.964912280701753
28,21.114285714285714
29,30.08823529411765
30,17.52
31,24.53846153846154
32,23.795454545454547
33,9.191176470588236
34,19.625
35,13.0
36,40.55172413793103
37,48.3
38,46.075
39,20.076923076923077
40,40.25581395348837
41,9.151515151515152
42,64.32857142857142
43,29.953125
44,45.63333333333333
45,61.47222222222222
46,63.758620689655174
47,27.7
48,77.64864864864865
49,55.25806451612903
50,13.59375
51,19.90909090909091
52,28.5
53,37.306451612903224
54,11.472222222222221
55,37.78181818181818
56,13.766666666666667
57,29.86111111111111
58,28.358490566037737
59,32.46296296296296
60,12.785714285714286
61,38.741379310344826
62,37.515151515151516
63,30.115384615384617
64,30.466666666666665
65,17.0
66,67.2
67,42.42857142857143
68,29.851063829787233
69,16.272727272727273
70,61.5
71,33.64
72,25.147058823529413
73,18.6875
74,22.705882352941178
75,17.032258064516128
76,16.387755102040817
77,22.027027027027028
78,34.872093023255815
79,15.0
80,20.23076923076923
81,25.0
82,42.25
83,10.072916666666666
84,43.644444444444446
85,16.727272727272727
86,21.125
87,58.542857142857144
88,36.17910447761194
89,33.75806451612903
90,21.785714285714285
91,44.529411764705884
92,16.88135593220339
93,13.571428571428571
94,23.658536585365855
95,47.5
96,34.22222222222222
97,55.096774193548384
98,18.60810810810811
99,90.6470588235294
100,28.571428571428573
101,13.428571428571429
102,23.066666666666666
103,13.0
104,5.329411764705882
105,21.34375
106,22.695652173913043
107,29.87037037037037
108,32.423529411764704
109,26.12727272727273
110,67.51851851851852
111,59.3968253968254
112,18.095238095238095
113,65.93877551020408
114,38.027027027027025
115,58.78846153846154
116,38.55172413793103
117,50.74285714285714
118,44.37777777777778
119,19.228571428571428
120,46.206896551724135
121,10.870967741935484
122,32.82539682539682
123,51.48076923076923
124,55.08955223880597
125,34.65277777777778
126,40.666666666666664
127,24.18918918918919
128,58.26923076923077
129,79.33333333333333
130,17.54
131,12.318181818181818
132,26.463414634146343
133,36.416666666666664
134,15.40625
135,14.91891891891892
136,10.681818181818182
137,25.641509433962263
138,20.695652173913043
139,27.92
140,14.873015873015873
141,20.71875
142,22.721311475409838
143,28.725
144,11.833333333333334
145,7.25
146,19.533333333333335
147,17.5609756097561
148,15.944444444444445
149,16.514285714285716
