,Mean_CP
0,13.222222222222221
1,32.48717948717949
2,16.8
3,23.20967741935484
4,7.916666666666667
5,26.944444444444443
6,10.0
7,9.857142857142858
8,11.408450704225352
9,17.741935483870968
10,31.338461538461537
11,20.0
12,9.224137931034482
13,11.289855072463768
14,39.609756097560975
15,22.72
16,20.559322033898304
17,10.358490566037736
18,30.577464788732396
19,23.626506024096386
20,44.706896551724135
21,16.177777777777777
22,14.609375
23,48.01204819277108
24,15.944444444444445
25,12.3125
26,25.58490566037736
27,9.71875
28,43.317460317460316
29,20.11111111111111
30,17.295454545454547
31,55.3921568627451
32,36.91836734693877
33,24.945205479452056
34,15.384615384615385
35,15.830769230769231
36,63.945205479452056
37,25.642857142857142
38,19.838709677419356
39,36.19642857142857
40,34.241379310344826
41,26.04
42,21.615384615384617
43,40.78260869565217
44,35.45454545454545
45,33.7027027027027
46,55.175438596491226
47,26.410526315789475
48,13.2
49,11.2
50,11.870967741935484
51,19.166666666666668
52,16.878048780487806
53,35.21052631578947
54,33.128571428571426
55,20.266666666666666
56,12.566037735849056
57,10.137931034482758
58,18.28
59,33.85
60,24.258064516129032
61,9.347368421052632
62,22.686274509803923
63,34.421052631578945
