,Mean_CP
0,26.0
1,26.50980392156863
2,29.49230769230769
3,14.205128205128204
4,24.75862068965517
5,13.435897435897436
6,20.03921568627451
7,26.728813559322035
8,49.241379310344826
9,27.045454545454547
10,11.311111111111112
11,50.03225806451613
12,24.317073170731707
13,42.36363636363637
14,26.173076923076923
15,15.953846153846154
16,15.613636363636363
17,21.471698113207548
18,13.75
19,33.15217391304348
20,13.765625
21,31.97826086956522
22,42.88333333333333
23,15.285714285714286
24,23.65671641791045
25,14.0
26,16.428571428571427
27,35.839285714285715
28,57.032786885245905
29,26.036363636363635
30,21.8
31,15.53125
32,6.865384615384615
33,36.95652173913044
34,13.351851851851851
35,22.871794871794872
36,50.85333333333333
37,34.24
38,9.58
39,22.61764705882353
40,12.727272727272727
41,21.929577464788732
42,14.03921568627451
43,16.82608695652174
44,13.3125
45,24.428571428571427
46,12.904761904761905
47,12.428571428571429
48,31.328358208955223
49,13.608695652173912
50,17.38888888888889
51,26.97142857142857
52,44.69230769230769
53,27.653846153846153
54,21.21276595744681
55,39.07272727272727
56,7.470588235294118
57,14.192307692307692
58,13.12
59,16.65714285714286
60,8.916666666666666
61,40.65909090909091
62,6.5
63,19.594594594594593
64,13.689655172413794
