,Mean_CP
0,16.458333333333332
1,6.774193548387097
2,28.09090909090909
3,21.90625
4,20.96875
5,28.28125
6,36.15625
7,11.382978723404255
8,28.489795918367346
9,24.419354838709676
10,27.833333333333332
11,17.625
12,21.0
13,15.323529411764707
14,53.927536231884055
15,57.58227848101266
16,12.75
17,22.069767441860463
18,36.067796610169495
19,21.68888888888889
20,43.96153846153846
21,16.82608695652174
22,42.26984126984127
23,62.42857142857143
24,21.68421052631579
25,14.376811594202898
26,52.12244897959184
27,8.448275862068966
28,42.07692307692308
29,16.15625
30,38.214285714285715
31,37.76190476190476
32,23.424242424242426
33,24.05
34,9.9
35,64.36
36,51.19047619047619
37,11.393939393939394
38,26.976744186046513
39,27.553571428571427
40,33.625
41,17.428571428571427
42,26.046511627906977
43,23.525
44,25.727272727272727
45,62.592592592592595
46,22.63157894736842
47,36.75806451612903
48,44.175
49,45.513513513513516
50,46.25
51,46.025
52,26.375
53,35.73684210526316
54,39.51851851851852
55,47.03448275862069
56,33.71739130434783
57,8.548387096774194
58,46.625
59,19.88888888888889
60,20.57894736842105
61,24.459016393442624
62,16.82
63,21.870967741935484
64,28.923076923076923
65,12.735294117647058
66,28.675675675675677
67,5.193548387096774
68,36.111111111111114
69,49.40625
70,7.806451612903226
71,26.69047619047619
72,17.9375
73,13.147058823529411
74,59.29032258064516
75,41.467532467532465
76,41.89655172413793
77,47.108695652173914
78,39.82857142857143
79,21.75
80,37.24444444444445
81,25.457142857142856
82,36.0
83,14.557692307692308
84,21.129032258064516
85,14.25
86,52.096774193548384
87,11.466666666666667
88,22.83823529411765
89,43.2
90,95.47727272727273
91,22.814814814814813
92,18.785714285714285
93,42.271186440677965
94,47.541666666666664
95,48.816326530612244
96,44.48571428571429
97,12.068965517241379
98,62.29824561403509
99,39.869565217391305
100,55.233333333333334
