,Mean_CP
0,42.22222222222222
1,21.508474576271187
2,20.84
3,19.94
4,18.305555555555557
5,27.654545454545456
6,12.15
7,20.64864864864865
8,17.21153846153846
9,25.416666666666668
10,42.108695652173914
11,19.78
12,7.266666666666667
13,21.466666666666665
14,14.716666666666667
15,11.612244897959183
16,11.875
17,14.428571428571429
18,11.28048780487805
19,8.951219512195122
20,8.666666666666666
21,42.86842105263158
22,18.85
23,13.49090909090909
24,18.74137931034483
25,21.21951219512195
26,34.785714285714285
27,51.62068965517241
28,72.13513513513513
29,28.136363636363637
30,27.015037593984964
31,19.130434782608695
32,13.153846153846153
33,11.567567567567568
34,47.38709677419355
35,39.81666666666667
36,8.58695652173913
37,43.073170731707314
38,34.224137931034484
39,16.161290322580644
40,50.93023255813954
41,9.0
42,36.20754716981132
43,42.34090909090909
44,43.774193548387096
45,9.952380952380953
46,32.5679012345679
47,30.515151515151516
48,40.20754716981132
49,21.071428571428573
50,8.11111111111111
51,56.03508771929825
52,32.24242424242424
53,15.90625
54,13.142857142857142
55,14.194444444444445
56,8.745454545454546
