,Mean_CP
0,31.559322033898304
1,26.16216216216216
2,16.58139534883721
3,17.157894736842106
4,39.274193548387096
5,17.0
6,24.896551724137932
7,30.930232558139537
8,45.853658536585364
9,34.457142857142856
10,13.872727272727273
11,9.304347826086957
12,24.448275862068964
13,17.36111111111111
14,16.864864864864863
15,6.382352941176471
16,10.478260869565217
17,33.266666666666666
18,21.317073170731707
19,23.366666666666667
20,39.479166666666664
21,22.324324324324323
22,11.63888888888889
23,9.475
24,9.225
25,9.2
26,17.0
27,27.26829268292683
28,18.602941176470587
29,5.466666666666667
30,6.586206896551724
31,27.98181818181818
32,5.806451612903226
33,19.10843373493976
34,7.290322580645161
35,12.488888888888889
36,5.882352941176471
37,5.966666666666667
