,Mean_CP
0,
1,0.7777777777777778
2,30.64814814814815
3,21.814814814814813
4,22.94736842105263
5,53.84
6,28.43243243243243
7,42.743589743589745
8,12.90625
9,13.36111111111111
10,20.847058823529412
11,22.11764705882353
12,23.25925925925926
13,30.152173913043477
14,14.333333333333334
15,20.896551724137932
16,23.054054054054053
17,59.03333333333333
18,
19,36.23255813953488
20,10.5
21,22.62121212121212
22,15.238095238095237
23,17.939393939393938
24,31.70731707317073
25,19.846153846153847
26,21.642857142857142
27,26.154929577464788
28,49.42857142857143
29,19.952380952380953
30,11.0
31,20.46875
32,6.019607843137255
33,18.34426229508197
34,8.842105263157896
35,9.708333333333334
36,38.11594202898551
37,39.104166666666664
38,20.68
39,18.155555555555555
40,31.515625
41,10.818181818181818
42,16.194444444444443
43,21.37037037037037
44,22.794871794871796
45,37.0
46,14.03225806451613
47,12.6
48,12.666666666666666
49,42.410714285714285
50,32.35897435897436
51,22.93548387096774
52,14.771428571428572
53,11.548387096774194
54,28.47826086956522
55,26.423076923076923
56,12.737704918032787
57,10.482758620689655
58,22.127659574468087
59,61.6
60,14.553191489361701
61,20.01818181818182
62,36.6578947368421
63,23.043478260869566
64,19.085714285714285
65,38.673469387755105
66,39.958333333333336
67,25.914893617021278
68,15.95
69,14.771428571428572
70,44.23076923076923
71,12.651162790697674
72,29.512820512820515
73,29.0
74,36.19047619047619
75,21.26530612244898
76,11.515151515151516
77,29.804878048780488
78,46.42857142857143
79,34.44736842105263
80,62.4
81,30.525
82,17.642857142857142
83,37.0
84,37.23809523809524
85,18.395833333333332
86,33.94736842105263
87,38.69387755102041
88,25.40625
89,27.48148148148148
90,22.0
91,25.859649122807017
92,31.03448275862069
93,14.891891891891891
94,16.375
95,20.59090909090909
96,13.69047619047619
97,19.5625
98,18.72093023255814
99,33.11363636363637
100,22.22222222222222
101,15.583333333333334
102,33.869565217391305
103,35.2962962962963
104,12.0625
105,21.11320754716981
106,56.425925925925924
107,18.095238095238095
108,26.0
109,25.934782608695652
110,19.307692307692307
111,18.26984126984127
112,15.942857142857143
113,32.09090909090909
114,16.166666666666668
115,24.914285714285715
116,33.875
117,14.904761904761905
118,34.23529411764706
119,20.18918918918919
120,16.8
121,29.2
122,19.18867924528302
123,18.805555555555557
124,16.647058823529413
125,9.4
126,22.454545454545453
127,15.128571428571428
128,17.851063829787233
129,17.1
130,35.983870967741936
131,16.57894736842105
132,18.714285714285715
133,31.341463414634145
134,24.875
135,27.885714285714286
136,30.666666666666668
137,31.70212765957447
138,12.23076923076923
139,34.170731707317074
140,25.790697674418606
141,26.82456140350877
142,30.145833333333332
143,17.63888888888889
144,20.142857142857142
145,24.627906976744185
146,18.783333333333335
147,10.595744680851064
148,10.482758620689655
149,24.942857142857143
150,31.7
151,29.120689655172413
152,18.1875
153,46.833333333333336
154,26.63157894736842
155,30.666666666666668
156,8.636363636363637
157,29.77777777777778
158,16.46808510638298
159,33.13333333333333
160,30.925
161,19.866666666666667
162,20.40983606557377
163,37.44117647058823
164,16.033333333333335
165,44.421875
166,17.484375
167,18.96551724137931
168,17.72222222222222
169,21.075
170,21.305555555555557
171,16.696969696969695
172,15.86111111111111
173,41.02564102564103
174,14.903225806451612
175,31.607843137254903
176,16.85185185185185
177,48.348837209302324
178,29.333333333333332
179,23.653846153846153
180,42.84126984126984
181,8.75
182,9.038461538461538
183,22.837209302325583
184,18.379310344827587
185,10.534883720930232
186,15.862068965517242
187,27.15
188,38.94285714285714
189,15.647058823529411
190,21.622222222222224
191,17.5
192,9.875
193,42.54545454545455
194,24.044444444444444
195,54.7027027027027
196,18.423076923076923
197,17.8
198,39.42424242424242
199,16.45
200,16.884615384615383
201,27.525
202,28.037037037037038
203,13.526315789473685
204,24.04
205,24.408163265306122
206,32.3125
207,34.38461538461539
208,19.866666666666667
209,21.434782608695652
210,18.193548387096776
211,39.34090909090909
212,22.253521126760564
213,23.19047619047619
214,6.0
215,25.096153846153847
216,30.65714285714286
217,17.435897435897434
218,19.5
219,10.517241379310345
220,19.666666666666668
221,42.5
222,14.089285714285714
223,19.761194029850746
224,21.638297872340427
225,13.708333333333334
226,24.46031746031746
227,42.54838709677419
228,19.8
229,23.94736842105263
230,12.793650793650794
231,35.05714285714286
232,13.911764705882353
233,23.056603773584907
234,26.853658536585368
235,20.605263157894736
236,21.103448275862068
237,23.678571428571427
238,29.641509433962263
239,17.019607843137255
240,8.452054794520548
241,24.558823529411764
242,26.105263157894736
243,41.73170731707317
244,16.51063829787234
245,7.444444444444445
246,23.918367346938776
247,38.69767441860465
248,14.328358208955224
249,13.179487179487179
250,32.44642857142857
251,29.48780487804878
252,20.07894736842105
253,19.486486486486488
254,21.515151515151516
255,24.59090909090909
256,15.825
257,21.288888888888888
258,22.377777777777776
259,10.909090909090908
260,36.394366197183096
261,3.77027027027027
262,21.66
263,16.103448275862068
264,35.5
265,42.829787234042556
266,42.5
267,39.25
268,26.904761904761905
269,30.0
270,17.446428571428573
271,14.620689655172415
272,31.256410256410255
273,16.20689655172414
274,27.724137931034484
275,20.857142857142858
276,46.8421052631579
277,12.3
278,18.59375
