,Mean_CP
0,13.342465753424657
1,15.76923076923077
2,23.53846153846154
3,12.563636363636364
4,11.904761904761905
5,19.871794871794872
6,29.170731707317074
7,27.789473684210527
8,15.0
9,14.6
10,15.5
11,5.166666666666667
12,24.217391304347824
13,13.258064516129032
14,10.68
15,31.23076923076923
16,14.0
17,26.88888888888889
18,11.074074074074074
19,6.325
20,16.633333333333333
21,6.925
22,15.423728813559322
23,19.24390243902439
24,29.0
25,18.833333333333332
26,8.129032258064516
27,9.657894736842104
28,17.22222222222222
29,14.4
30,10.821428571428571
31,29.410714285714285
32,51.39393939393939
33,6.5
34,15.09375
35,13.431818181818182
36,13.551724137931034
37,7.6
38,8.5625
39,10.619047619047619
40,22.066666666666666
41,6.2
42,31.244444444444444
43,28.473684210526315
44,8.075
45,39.3125
46,21.285714285714285
47,30.745454545454546
48,11.142857142857142
49,18.719298245614034
50,18.5609756097561
51,9.846153846153847
52,51.763636363636365
53,23.63095238095238
54,23.73170731707317
55,24.28125
56,17.28125
57,5.413793103448276
58,20.36842105263158
59,22.333333333333332
60,16.823529411764707
61,15.976744186046512
62,7.861111111111111
63,13.875
64,10.11111111111111
65,31.62857142857143
66,14.384615384615385
67,12.454545454545455
68,18.829787234042552
69,25.714285714285715
70,17.081632653061224
71,19.785714285714285
72,11.0
73,14.46875
74,9.365384615384615
75,10.823529411764707
76,21.673076923076923
77,20.18867924528302
