,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
0,PRO League Group Stage,chess.com INT,2020.02.12,6,"Andreikin,D","Gupta,Ab",1-0,2608,A00,2726
1,PRO League Group Stage,chess.com INT,2020.02.12,6,"Karthikeyan,M2","Andreikin,D",0-1,2726,C67,2602
2,PRO League Group Stage,chess.com INT,2020.02.12,6,"Narayanan,SL","Andreikin,D",1/2-1/2,2726,A15,2637
3,PRO League Group Stage,chess.com INT,2020.02.12,6,"Andreikin,D","Mamedyarov,S",1/2-1/2,2770,A00,2726
4,1st Abu Dhabi Super Blitz,chess.com INT,2020.04.15,5,"Narayanan,Sri","Andreikin,D",0-1,2726,C65,2540
5,1st Abu Dhabi Super Blitz,chess.com INT,2020.04.15,7,"Sychev,K","Andreikin,D",0-1,2726,C45,2572
6,1st Abu Dhabi Super Blitz,chess.com INT,2020.04.15,8,"Artemiev,V","Andreikin,D",1/2-1/2,2726,A28,2716
7,1st Abu Dhabi Super Blitz,chess.com INT,2020.04.15,9,"Andreikin,D","Sarana,A",1-0,2654,B90,2726
8,1st Abu Dhabi Super Blitz,chess.com INT,2020.04.15,10,"Nepomniachtchi,I","Andreikin,D",1-0,2726,C67,2784
9,1st Abu Dhabi Super Blitz,chess.com INT,2020.04.15,11,"Dubov,Daniil","Andreikin,D",1-0,2726,D15,2699
10,Titled Tuesday 28th Apr,chess.com INT,2020.04.28,2,"Gunnarsson,J","Andreikin,D",1/2-1/2,2726,B48,2436
11,Titled Tuesday 28th Apr,chess.com INT,2020.04.28,5,"Savchenko,B","Andreikin,D",0-1,2726,B41,2564
12,Titled Tuesday 28th Apr,chess.com INT,2020.04.28,6,"Andreikin,D",Nguyen Ngoc Truong Son,1/2-1/2,2641,B34,2726
13,Titled Tuesday 28th Apr,chess.com INT,2020.04.28,7,"Bachmann,Ax","Andreikin,D",0-1,2726,E12,2599
14,Titled Tuesday 28th Apr,chess.com INT,2020.04.28,8,"Andreikin,D","Zierk,S",1-0,2499,C17,2726
15,Titled Tuesday 28th Apr,chess.com INT,2020.04.28,9,"Praggnanandhaa,R","Andreikin,D",1/2-1/2,2726,B08,2608
16,Online Nations Cup Prelim,chess.com INT,2020.05.05,1.1,"Duda,J","Andreikin,D",1-0,2726,B42,2753
17,Online Nations Cup Prelim,chess.com INT,2020.05.05,2.1,"Andreikin,D","So,W",1/2-1/2,2770,D85,2726
18,Online Nations Cup Prelim,chess.com INT,2020.05.09,9.1,"Amin,B","Andreikin,D",0-1,2726,C50,2686
19,Online Nations Cup Prelim,chess.com INT,2020.05.09,10.1,"Andreikin,D","Adhiban,Baskaran",1-0,2659,A07,2726
20,Titled Tuesday 12th May,chess.com INT,2020.05.12,2,"Valdes Escobar,A","Andreikin,D",0-1,2726,A21,2355
21,Titled Tuesday 12th May,chess.com INT,2020.05.12,3,"Andreikin,D","Mikaelyan,A",1-0,2483,C49,2726
22,Titled Tuesday 12th May,chess.com INT,2020.05.12,5,"Andreikin,D","Ismagambetov,An",0-1,2528,B33,2726
23,Titled Tuesday 12th May,chess.com INT,2020.05.12,6,"Salinas Herrera,P","Andreikin,D",1/2-1/2,2726,A45,2514
24,Titled Tuesday 12th May,chess.com INT,2020.05.12,7,"Wiewiora,E","Andreikin,D",0-1,2726,B13,2346
25,Titled Tuesday 12th May,chess.com INT,2020.05.12,8,"Andreikin,D","Djukic,Ni",1-0,2515,A04,2726
26,Titled Tuesday 12th May,chess.com INT,2020.05.12,9,"Perunovic,Mil","Andreikin,D",1-0,2726,B12,2585
27,Titled Tuesday 19th May,chess.com INT,2020.05.19,3,"Andreikin,D","Belous,Mikhail",1-0,2362,B22,2726
28,Titled Tuesday 19th May,chess.com INT,2020.05.19,4,"Andreikin,D","Mammadov,Z",1-0,2417,C11,2726
29,Titled Tuesday 19th May,chess.com INT,2020.05.19,5,"Stefanova,A","Andreikin,D",0-1,2726,A46,2462
30,Titled Tuesday 19th May,chess.com INT,2020.05.19,6,"Andreikin,D","Tristan,L",1-0,2535,C85,2726
31,Titled Tuesday 19th May,chess.com INT,2020.05.19,7,"Andreikin,D","Smirin,I",1-0,2612,E71,2726
32,Titled Tuesday 19th May,chess.com INT,2020.05.19,8,"Laurusas,T","Andreikin,D",0-1,2726,E16,2511
33,Titled Tuesday 19th May,chess.com INT,2020.05.19,9,"Andreikin,D","Ivanchuk,V",0-1,2678,C15,2726
34,Titled Tuesday 19th May,chess.com INT,2020.05.19,10,"Kobalia,M","Andreikin,D",0-1,2726,B00,2614
35,Titled Tuesday 26th May,chess.com INT,2020.05.26,1,"Andreikin,D","Belous,Mikhail",1-0,2362,B90,2726
36,Titled Tuesday 26th May,chess.com INT,2020.05.26,2,"Ghimpu,Samuel-Timotei","Andreikin,D",0-1,2726,A05,2302
37,Titled Tuesday 26th May,chess.com INT,2020.05.26,3,"Andreikin,D","Bernadskiy,V",1/2-1/2,2629,A31,2726
38,Titled Tuesday 26th May,chess.com INT,2020.05.26,4,"Beerdsen,Thomas","Andreikin,D",0-1,2726,B41,2479
39,Titled Tuesday 26th May,chess.com INT,2020.05.26,5,"Andreikin,D","Nikologorskiy,K",1-0,2413,C15,2726
40,Titled Tuesday 26th May,chess.com INT,2020.05.26,6,"Jones,G","Andreikin,D",0-1,2726,B06,2670
41,Titled Tuesday 26th May,chess.com INT,2020.05.26,7,"Andreikin,D","Adly,A",1-0,2615,B10,2726
42,Titled Tuesday 26th May,chess.com INT,2020.05.26,8,"Andreikin,D","Noritsyn,N",1-0,2512,C41,2726
43,Titled Tuesday 26th May,chess.com INT,2020.05.26,9,"Nagy,Ga1","Andreikin,D",1-0,2726,A46,2502
44,Titled Tuesday 26th May,chess.com INT,2020.05.26,10,"Andreikin,D","Tang,Andrew",0-1,2538,C60,2726
45,Titled Tuesday 2nd June,chess.com INT,2020.06.02,1,"Nuri,M","Andreikin,D",0-1,2726,E04,2290
