,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
0,FIDE Steinitz Mem Open,chess24.com INT,2020.05.15,1.3,Bu Xiangzhi,"Mamedyarov,S",1/2-1/2,2764,D27,2705
1,FIDE Steinitz Mem Open,chess24.com INT,2020.05.15,2.4,"Korobov,A",Bu Xiangzhi,0-1,2705,D12,2688
2,FIDE Steinitz Mem Open,chess24.com INT,2020.05.15,3.2,Bu Xiangzhi,"Anton Guijarro,D",1/2-1/2,2703,D27,2705
3,FIDE Steinitz Mem Open,chess24.com INT,2020.05.15,4.5,"Grischuk,A",Bu Xiangzhi,1-0,2705,A20,2777
4,FIDE Steinitz Mem Open,chess24.com INT,2020.05.15,5.1,Bu Xiangzhi,"Xiong,Jeffery",1/2-1/2,2709,D37,2705
5,FIDE Steinitz Mem Open,chess24.com INT,2020.05.15,6.5,Bu Xiangzhi,"Dubov,Daniil",1-0,2699,D45,2705
6,FIDE Steinitz Mem Open,chess24.com INT,2020.05.16,7.2,"Carlsen,M",Bu Xiangzhi,1-0,2705,C42,2863
7,FIDE Steinitz Mem Open,chess24.com INT,2020.05.16,8.3,Le Quang Liem,Bu Xiangzhi,1-0,2705,A06,2709
8,FIDE Steinitz Mem Open,chess24.com INT,2020.05.16,9.4,Bu Xiangzhi,"Svidler,P",1/2-1/2,2723,A15,2705
9,FIDE Steinitz Mem Open,chess24.com INT,2020.05.16,10.3,"Mamedyarov,S",Bu Xiangzhi,1-0,2705,D11,2764
10,FIDE Steinitz Mem Open,chess24.com INT,2020.05.16,11.4,Bu Xiangzhi,"Korobov,A",1/2-1/2,2688,E97,2705
11,FIDE Steinitz Mem Open,chess24.com INT,2020.05.16,12.2,"Anton Guijarro,D",Bu Xiangzhi,0-1,2705,A06,2703
12,FIDE Steinitz Mem Open,chess24.com INT,2020.05.17,13.5,Bu Xiangzhi,"Grischuk,A",1-0,2777,A48,2705
13,FIDE Steinitz Mem Open,chess24.com INT,2020.05.17,14.1,"Xiong,Jeffery",Bu Xiangzhi,1-0,2705,D14,2709
14,FIDE Steinitz Mem Open,chess24.com INT,2020.05.17,15.5,"Dubov,Daniil",Bu Xiangzhi,0-1,2705,D30,2699
