,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
0,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.15,2.1,"Vakhidov,J","Dominguez Perez,L",1/2-1/2,2758,A37,2534
1,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.16,2.2,"Dominguez Perez,L","Vakhidov,J",1/2-1/2,2534,B38,2758
2,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.17,2.3,"Vakhidov,J","Dominguez Perez,L",1-0,2758,A37,2534
3,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.17,2.4,"Dominguez Perez,L","Vakhidov,J",0-1,2534,B38,2758
4,Saint Louis Rapid 2021,Saint Louis USA,2021.08.11,1.2,"Dominguez Perez,L","Xiong,Jeffery",1-0,2710,C50,2758
5,Saint Louis Rapid 2021,Saint Louis USA,2021.08.11,2.5,"Shankland,S","Dominguez Perez,L",1/2-1/2,2758,D27,2709
6,Saint Louis Rapid 2021,Saint Louis USA,2021.08.11,3.1,"Dominguez Perez,L","Rapport,R",1-0,2763,C53,2758
7,Saint Louis Rapid 2021,Saint Louis USA,2021.08.12,4.1,"Dominguez Perez,L","So,W",1/2-1/2,2772,C53,2758
8,Saint Louis Rapid 2021,Saint Louis USA,2021.08.12,5.5,"Caruana,F","Dominguez Perez,L",1-0,2758,A05,2806
9,Saint Louis Rapid 2021,Saint Louis USA,2021.08.12,6.2,"Dominguez Perez,L","Mamedyarov,S",0-1,2782,C42,2758
10,Saint Louis Rapid 2021,Saint Louis USA,2021.08.13,7.3,"Nakamura,Hi","Dominguez Perez,L",1-0,2758,D26,2736
11,Saint Louis Rapid 2021,Saint Louis USA,2021.08.13,8.2,"Dominguez Perez,L","Svidler,P",0-1,2714,C53,2758
12,Saint Louis Rapid 2021,Saint Louis USA,2021.08.13,9.3,"Le, Quang Liem","Dominguez Perez,L",1/2-1/2,2758,D20,2709
13,Saint Louis Blitz 2021,Saint Louis USA,2021.08.14,1.2,"Dominguez Perez,L","So,W",1/2-1/2,2772,C50,2758
14,Saint Louis Blitz 2021,Saint Louis USA,2021.08.14,2.5,"Svidler,P","Dominguez Perez,L",1/2-1/2,2758,C80,2714
15,Saint Louis Blitz 2021,Saint Louis USA,2021.08.14,3.3,"Dominguez Perez,L","Caruana,F",1/2-1/2,2806,B41,2758
16,Saint Louis Blitz 2021,Saint Louis USA,2021.08.14,4.5,"Dominguez Perez,L","Mamedyarov,S",1-0,2782,C42,2758
17,Saint Louis Blitz 2021,Saint Louis USA,2021.08.14,5.1,"Le, Quang Liem","Dominguez Perez,L",1-0,2758,D20,2709
18,Saint Louis Blitz 2021,Saint Louis USA,2021.08.14,6.4,"Dominguez Perez,L","Rapport,R",0-1,2763,C53,2758
