,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
0,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.11,1.6,"Vitiugov,N","Duda,J",1/2-1/2,2758,B59,2747
1,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.12,2.4,"Duda,J","Firouzja,Alireza",1/2-1/2,2723,D20,2758
2,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.13,3.2,"Kovalev,Vl","Duda,J",1/2-1/2,2758,B51,2660
3,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.14,4.3,"Dubov,Daniil","Duda,J",1/2-1/2,2758,E04,2683
4,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.16,5.7,"Duda,J","Artemiev,V",1/2-1/2,2731,D45,2758
5,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.17,6.4,"So,W","Duda,J",1/2-1/2,2758,E04,2765
6,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.18,7.6,"Duda,J","Giri,A",1/2-1/2,2768,C89,2758
7,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.19,8.3,Yu Yangyi,"Duda,J",0-1,2758,B35,2726
8,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.21,9.7,"Duda,J","Xiong,Jeffery",1/2-1/2,2712,C50,2758
9,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.22,10.4,"Van Foreest,Jorden","Duda,J",1/2-1/2,2758,B22,2644
10,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.24,11.1,"Duda,J","Carlsen,M",1/2-1/2,2872,C53,2758
11,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.25,12.5,"Caruana,F","Duda,J",1-0,2758,E06,2822
12,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.26,13.3,"Duda,J","Anand,V",1/2-1/2,2758,A18,2758
13,2nd Prague Masters 2019,Prague CZE,2020.02.12,1.5,"Navara,D","Duda,J",0-1,2755,B90,2717
14,2nd Prague Masters 2019,Prague CZE,2020.02.13,2.4,"Harikrishna,P","Duda,J",1/2-1/2,2755,E00,2713
15,2nd Prague Masters 2019,Prague CZE,2020.02.14,3.3,"Duda,J","Shankland,S",1/2-1/2,2683,B90,2755
16,2nd Prague Masters 2019,Prague CZE,2020.02.15,4.4,"Anton Guijarro,D","Duda,J",1/2-1/2,2755,A15,2697
17,2nd Prague Masters 2019,Prague CZE,2020.02.16,5.4,"Duda,J","Ragger,M",1/2-1/2,2670,C68,2755
18,2nd Prague Masters 2020,Prague CZE,2020.02.18,6.3,"Grandelius,N","Duda,J",1/2-1/2,2755,B51,2659
19,2nd Prague Masters 2020,Prague CZE,2020.02.19,7.4,"Duda,J","Firouzja,Alireza",0-1,2726,A11,2755
20,2nd Prague Masters 2020,Prague CZE,2020.02.20,8.4,"Vitiugov,N","Duda,J",1/2-1/2,2755,D02,2731
21,2nd Prague Masters 2020,Prague CZE,2020.02.21,9.5,"Duda,J","Vidit,S",1-0,2721,D38,2755
22,TCh-POL Ekstraliga 2020,Warsaw POL,2020.08.31,6.1,"Kryvoruchko,Y","Duda,J",0-1,2753,B51,2682
23,TCh-POL Ekstraliga 2020,Warsaw POL,2020.09.02,8.2,"Harikrishna,P","Duda,J",1/2-1/2,2753,E53,2732
24,8th Norway Chess 2020,Stavanger NOR,2020.10.05,1.3,"Duda,J","Firouzja,Alireza",0-1,2728,B19,2757
