,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
0,C'Chartres Blitz Men,Europe-Echecs INT,2020.06.13,1,"Firouzja,Alireza","Stephan,V",1-0,2439,A61,2728
1,C'Chartres Blitz Men,Europe-Echecs INT,2020.06.13,2,"Edouard,R","Firouzja,Alireza",0-1,2728,E97,2649
2,C'Chartres Blitz Men,Europe-Echecs INT,2020.06.13,3,"Firouzja,Alireza","Ivanchuk,V",1-0,2678,A46,2728
3,C'Chartres Blitz Men,Europe-Echecs INT,2020.06.13,4,"Gukesh,D","Firouzja,Alireza",0-1,2728,C11,2563
4,C'Chartres Blitz Men,Europe-Echecs INT,2020.06.13,5,"Firouzja,Alireza","Medvegy,Z",1-0,2524,A46,2728
5,C'Chartres Blitz Men,Europe-Echecs INT,2020.06.13,6,"Firouzja,Alireza","Mamedov,Rau",1-0,2654,D02,2728
6,C'Chartres Blitz Men,Europe-Echecs INT,2020.06.13,7,"Bauer,Ch","Firouzja,Alireza",0-1,2728,C50,2623
7,C'Chartres Blitz Men,Europe-Echecs INT,2020.06.13,8,"Firouzja,Alireza","Dardha,Daniel",1-0,2449,A46,2728
8,C'Chartres Blitz Men,Europe-Echecs INT,2020.06.13,9,"Maurizzi,Marc Andria","Firouzja,Alireza",0-1,2728,A48,2433
9,C'Chartres Blitz Men,Europe-Echecs INT,2020.06.13,10,"Firouzja,Alireza","Studer,N",1-0,2580,A08,2728
10,C'Chartres Blitz Men,Europe-Echecs INT,2020.06.13,11,"Guliyev,N","Firouzja,Alireza",0-1,2728,C01,2529
11,C'Chartres Blitz Men,Europe-Echecs INT,2020.06.13,12,"Firouzja,Alireza","Keymer,Vincent",1/2-1/2,2558,D03,2728
12,C'Chartres Blitz Men,Europe-Echecs INT,2020.06.13,13,"Lagarde,Max","Firouzja,Alireza",0-1,2728,C02,2655
13,C'Chartres Blitz Men,Europe-Echecs INT,2020.06.13,14,"Firouzja,Alireza","Murzin,Volodar",0-1,2465,A48,2728
14,C'Chartres Blitz Men,Europe-Echecs INT,2020.06.13,15,"Maghsoodloo,Parham","Firouzja,Alireza",1/2-1/2,2728,C67,2676
15,C'Chartres Blitz M Final,Europe-Echecs INT,2020.06.14,1.2,"Lagarde,Max","Firouzja,Alireza",0-1,2728,C00,2655
16,C'Chartres Blitz M Final,Europe-Echecs INT,2020.06.14,1.1,"Firouzja,Alireza","Lagarde,Max",1-0,2655,A46,2728
17,C'Chartres Blitz M Final,Europe-Echecs INT,2020.06.14,1.3,"Firouzja,Alireza","Lagarde,Max",1-0,2655,A81,2728
18,C'Chartres Blitz M Final,Europe-Echecs INT,2020.06.14,1.4,"Lagarde,Max","Firouzja,Alireza",1/2-1/2,2728,C29,2655
