,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
0,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.11,1.1,"Carlsen,M","Giri,A",1/2-1/2,2768,A22,2872
1,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.12,2.6,"Giri,A","Caruana,F",1/2-1/2,2822,E32,2768
2,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.13,3.3,"Anand,V","Giri,A",1/2-1/2,2768,C65,2758
3,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.14,4.6,"Giri,A","Vitiugov,N",1/2-1/2,2747,D02,2768
4,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.16,5.5,"Firouzja,Alireza","Giri,A",1-0,2768,D31,2723
5,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.17,6.2,"Giri,A","Kovalev,Vl",1-0,2660,C53,2768
6,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.18,7.6,"Duda,J","Giri,A",1/2-1/2,2768,C89,2758
7,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.19,8.7,"Giri,A","Artemiev,V",1/2-1/2,2731,D52,2768
8,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.21,9.5,"So,W","Giri,A",1/2-1/2,2768,D14,2765
9,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.22,10.6,"Dubov,Daniil","Giri,A",1/2-1/2,2768,D40,2683
10,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.24,11.2,"Giri,A",Yu Yangyi,1/2-1/2,2726,C42,2768
11,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.25,12.3,"Xiong,Jeffery","Giri,A",1/2-1/2,2768,B30,2712
12,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.26,13.5,"Giri,A","Van Foreest,Jorden",1/2-1/2,2644,D10,2768
13,PRO League Group Stage,chess.com INT,2020.02.17,7,"Nakamura,Hi","Giri,A",1/2-1/2,2768,C28,2736
14,PRO League Group Stage,chess.com INT,2020.02.17,7,"Giri,A","Iturrizaga,E",1-0,2597,B13,2768
15,PRO League Group Stage,chess.com INT,2020.02.17,7,"Giri,A","Moranda,W",1/2-1/2,2601,E04,2768
16,PRO League Group Stage,chess.com INT,2020.02.17,7,"Guseinov,G","Giri,A",0-1,2768,B23,2666
17,PRO League KO Stage 2020,chess.com INT,2020.03.02,1,"Amin,B","Giri,A",0-1,2763,B30,2667
18,PRO League KO Stage 2020,chess.com INT,2020.03.02,1,"Giri,A","Meshkovs,Nikita",1-0,2582,E16,2763
19,PRO League KO Stage 2020,chess.com INT,2020.03.02,1,"Hellers,F","Giri,A",0-1,2763,A07,2592
20,PRO League KO Stage 2020,chess.com INT,2020.03.02,1,"Giri,A","Grandelius,N",1-0,2651,D86,2763
21,PRO League KO Stage 2020,chess.com INT,2020.03.13,2,"Robson,R","Giri,A",1-0,2763,B90,2673
22,PRO League KO Stage 2020,chess.com INT,2020.03.13,2,"Giri,A","Shimanov,A",1/2-1/2,2593,E91,2763
23,PRO League KO Stage 2020,chess.com INT,2020.03.13,2,"Giri,A","Nyzhnyk,I",1/2-1/2,2665,E62,2763
24,PRO League KO Stage 2020,chess.com INT,2020.03.13,2,"Cori,J","Giri,A",0-1,2763,D12,2652
25,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.17,1.3,"Giri,A","Nepomniachtchi,I",0-1,2774,A33,2763
26,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.18,2.3,Wang Hao,"Giri,A",1/2-1/2,2763,A37,2762
27,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.19,3.2,"Giri,A","Vachier Lagrave,M",1/2-1/2,2767,D85,2763
28,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.21,4.4,Ding Liren,"Giri,A",1/2-1/2,2763,E00,2805
29,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.22,5.1,"Giri,A","Caruana,F",1/2-1/2,2842,D12,2763
30,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.23,6.2,"Alekseenko,K","Giri,A",0-1,2763,C50,2698
31,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.25,7.4,"Giri,A","Grischuk,A",1/2-1/2,2777,A20,2763
32,Giri-Jorden van Foreest m,chess24.com INT,2020.04.13,1,"Giri,A","Van Foreest,Jorden",0-1,2682,E10,2764
33,Giri-Jorden van Foreest m,chess24.com INT,2020.04.13,2,"Van Foreest,Jorden","Giri,A",1/2-1/2,2764,A15,2682
34,Giri-Jorden van Foreest m,chess24.com INT,2020.04.13,3,"Giri,A","Van Foreest,Jorden",1/2-1/2,2682,D16,2764
35,Giri-Jorden van Foreest m,chess24.com INT,2020.04.13,4,"Van Foreest,Jorden","Giri,A",1-0,2764,A20,2682
36,1st Abu Dhabi Super Blitz,chess.com INT,2020.04.15,5,"Giri,A","Grigoriants,S RUS",1-0,2542,C50,2764
37,1st Abu Dhabi Super Blitz,chess.com INT,2020.04.15,8,"Giri,A","Yilmaz,M",1-0,2630,D38,2764
38,1st Abu Dhabi Super Blitz,chess.com INT,2020.04.15,9,"Nakamura,Hi","Giri,A",1/2-1/2,2764,A06,2736
39,1st Abu Dhabi Super Blitz,chess.com INT,2020.04.15,10,"Artemiev,V","Giri,A",1-0,2764,A06,2716
40,1st Abu Dhabi Super Blitz,chess.com INT,2020.04.15,11,"Giri,A","Cvitan,O",0-1,2467,B76,2764
41,Giri-Vidit Training Match,chess24.com INT,2020.04.16,1,"Vidit,S","Giri,A",0-1,2764,E10,2726
42,Giri-Vidit Training Match,chess24.com INT,2020.04.16,2,"Giri,A","Vidit,S",1/2-1/2,2726,D02,2764
43,Giri-Vidit Training Match,chess24.com INT,2020.04.16,3,"Vidit,S","Giri,A",1/2-1/2,2764,A06,2726
44,Giri-Vidit Training Match,chess24.com INT,2020.04.16,4,"Giri,A","Vidit,S",1/2-1/2,2726,D02,2764
45,Carlsen Inv Prelim,chess24.com INT,2020.04.19,1.2,"Giri,A","Vachier Lagrave,M",0-1,2778,D43,2764
46,Carlsen Inv Prelim,chess24.com INT,2020.04.19,1.3,"Vachier Lagrave,M","Giri,A",1/2-1/2,2764,B30,2778
47,Carlsen Inv Prelim,chess24.com INT,2020.04.19,1.4,"Giri,A","Vachier Lagrave,M",1/2-1/2,2778,E06,2764
48,Carlsen Inv Prelim,chess24.com INT,2020.04.19,1.1,"Vachier Lagrave,M","Giri,A",1-0,2764,E32,2778
49,Carlsen Inv Prelim,chess24.com INT,2020.04.20,2.4,"Giri,A","Nakamura,Hi",1/2-1/2,2736,C53,2764
50,Carlsen Inv Prelim,chess24.com INT,2020.04.20,2.2,"Giri,A","Nakamura,Hi",1/2-1/2,2736,D37,2764
51,Carlsen Inv Prelim,chess24.com INT,2020.04.20,2.1,"Nakamura,Hi","Giri,A",1-0,2764,E60,2736
52,Carlsen Inv Prelim,chess24.com INT,2020.04.20,2.3,"Nakamura,Hi","Giri,A",1/2-1/2,2764,D10,2736
53,Carlsen Inv Prelim,chess24.com INT,2020.04.23,3.3,"Giri,A","Nepomniachtchi,I",1/2-1/2,2784,D87,2764
54,Carlsen Inv Prelim,chess24.com INT,2020.04.23,3.2,"Nepomniachtchi,I","Giri,A",1-0,2764,A29,2784
55,Carlsen Inv Prelim,chess24.com INT,2020.04.23,3.1,"Giri,A","Nepomniachtchi,I",1/2-1/2,2784,D87,2764
56,Carlsen Inv Prelim,chess24.com INT,2020.04.23,3.4,"Nepomniachtchi,I","Giri,A",1/2-1/2,2764,B51,2784
57,Carlsen Inv Prelim,chess24.com INT,2020.04.25,4.4,"Giri,A",Ding Liren,1/2-1/2,2791,D41,2764
