,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
301,?,?,????.??.??,?,?,?,0-1,,,
3210,PRO League Group Stage,chess.com INT,2020.01.06,1,"Zierk,S","Grischuk,A",1/2-1/2,2777,B01,2509
3211,PRO League Group Stage,chess.com INT,2020.01.06,1,"Grischuk,A","Smirnov,Ant",1/2-1/2,2604,A06,2777
3212,PRO League Group Stage,chess.com INT,2020.01.06,1,"Grischuk,A","Sarana,A",1-0,2656,A07,2777
3213,PRO League Group Stage,chess.com INT,2020.01.06,1,"Naroditsky,D","Grischuk,A",1/2-1/2,2777,C67,2621
3214,PRO League Group Stage,chess.com INT,2020.01.13,2,"Bitelmajer,M","Grischuk,A",0-1,2777,E00,2475
3215,PRO League Group Stage,chess.com INT,2020.01.13,2,"Grischuk,A","Pichot,A",1-0,2606,A07,2777
3216,PRO League Group Stage,chess.com INT,2020.01.13,2,"Flores,Di","Grischuk,A",0-1,2777,A22,2599
3217,PRO League Group Stage,chess.com INT,2020.01.13,2,"Grischuk,A","Perez Ponsa,F",1-0,2559,E97,2777
3218,PRO League Group Stage,chess.com INT,2020.01.20,3,"Grischuk,A","Diamant,A",1/2-1/2,2547,B63,2777
3219,PRO League Group Stage,chess.com INT,2020.01.20,3,"Grischuk,A","Disconzi da Silva,R",1-0,2333,B41,2777
3220,PRO League Group Stage,chess.com INT,2020.01.20,3,"Milos,G","Grischuk,A",0-1,2777,B92,2575
3221,PRO League Group Stage,chess.com INT,2020.01.20,3,"Martins,Vin","Grischuk,A",0-1,2777,A15,2309
3222,PRO League Group Stage,chess.com INT,2020.01.27,4,"Harvey,Marcus R","Grischuk,A",0-1,2777,A06,2419
3223,PRO League Group Stage,chess.com INT,2020.01.27,4,"Grischuk,A","Berchtenbreiter,M",1-0,2488,B06,2777
3224,PRO League Group Stage,chess.com INT,2020.01.27,4,"Tan,Ju2","Grischuk,A",1/2-1/2,2777,C19,2511
3225,PRO League Group Stage,chess.com INT,2020.01.27,4,"Grischuk,A","Haria,R",1-0,2450,A14,2777
3226,PRO League Group Stage,chess.com INT,2020.02.03,5,"Dominguez Perez,L","Grischuk,A",1/2-1/2,2777,B90,2758
3227,PRO League Group Stage,chess.com INT,2020.02.03,5,"Grischuk,A","Caruana,F",1-0,2842,A07,2777
3228,PRO League Group Stage,chess.com INT,2020.02.03,5,"Grischuk,A","So,W",1/2-1/2,2770,D38,2777
3229,PRO League Group Stage,chess.com INT,2020.02.03,5,Le Quang Liem,"Grischuk,A",1/2-1/2,2777,B92,2713
3230,PRO League Group Stage,chess.com INT,2020.02.10,6,"Grischuk,A","Cori,J",1-0,2652,B44,2777
3231,PRO League Group Stage,chess.com INT,2020.02.10,6,"Robson,R","Grischuk,A",1/2-1/2,2777,C67,2673
3232,PRO League Group Stage,chess.com INT,2020.02.10,6,"Grischuk,A","Shimanov,A",1/2-1/2,2587,B12,2777
3233,PRO League Group Stage,chess.com INT,2020.02.10,6,"Tang,Andrew","Grischuk,A",0-1,2777,D02,2537
3234,PRO League Group Stage,chess.com INT,2020.02.17,7,"Moranda,W","Grischuk,A",1-0,2777,E77,2601
3235,PRO League Group Stage,chess.com INT,2020.02.17,7,"Grischuk,A","Nakamura,Hi",1-0,2736,E62,2777
3236,PRO League Group Stage,chess.com INT,2020.02.17,7,"Grischuk,A","Guseinov,G",1-0,2666,B36,2777
3237,PRO League Group Stage,chess.com INT,2020.02.17,7,"Iturrizaga,E","Grischuk,A",1/2-1/2,2777,A13,2597
3238,PRO League KO Stage 2020,chess.com INT,2020.03.02,1,"Grandelius,N","Grischuk,A",1-0,2777,A07,2651
3239,PRO League KO Stage 2020,chess.com INT,2020.03.02,1,"Meshkovs,Nikita","Grischuk,A",1/2-1/2,2777,A46,2582
3240,PRO League KO Stage 2020,chess.com INT,2020.03.02,1,"Grischuk,A","Amin,B",1/2-1/2,2667,E68,2777
3241,PRO League KO Stage 2020,chess.com INT,2020.03.02,1,"Grischuk,A","Hellers,F",1-0,2592,B07,2777
3242,PRO League KO Stage 2020,chess.com INT,2020.03.13,2,"Nyzhnyk,I","Grischuk,A",1-0,2777,D38,2665
3243,PRO League KO Stage 2020,chess.com INT,2020.03.13,2,"Grischuk,A","Cori,J",1-0,2652,E16,2777
3244,PRO League KO Stage 2020,chess.com INT,2020.03.13,2,"Grischuk,A","Robson,R",1-0,2673,A06,2777
3245,PRO League KO Stage 2020,chess.com INT,2020.03.13,2,"Shimanov,A","Grischuk,A",1/2-1/2,2777,B23,2593
3246,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.17,1.4,"Grischuk,A","Alekseenko,K",1/2-1/2,2698,A20,2777
3247,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.18,2.2,"Nepomniachtchi,I","Grischuk,A",1/2-1/2,2777,C67,2774
3248,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.19,3.3,"Grischuk,A",Wang Hao,1/2-1/2,2762,C42,2777
3249,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.21,4.3,"Vachier Lagrave,M","Grischuk,A",1/2-1/2,2777,C67,2767
3250,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.22,5.2,"Grischuk,A",Ding Liren,1/2-1/2,2805,C88,2777
3251,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.23,6.1,"Grischuk,A","Caruana,F",1/2-1/2,2842,C78,2777
3252,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.25,7.4,"Giri,A","Grischuk,A",1/2-1/2,2777,A20,2763
3253,1st Abu Dhabi Super Blitz,chess.com INT,2020.04.15,5,"Corrales Jimenez,F","Grischuk,A",0-1,2777,B90,2532
3254,1st Abu Dhabi Super Blitz,chess.com INT,2020.04.15,6,"Grischuk,A","Sanal,V",1-0,2581,E62,2777
