,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
0,TCh-CZE Extraliga 2019-20,Czech Republic CZE,2020.01.25,5.5,"Harikrishna,P","Gonda,L",1/2-1/2,2541,D35,2748
1,TCh-CZE Extraliga 2019-20,Czech Republic CZE,2020.01.26,6.5,"Korobov,A","Harikrishna,P",1/2-1/2,2748,A30,2679
2,PRO League Group Stage,chess.com INT,2020.01.29,4,"Rambaldi,Francesco","Harikrishna,P",1/2-1/2,2716,A08,2570
3,PRO League Group Stage,chess.com INT,2020.01.29,4,"Harikrishna,P","Tanriverdi,Enes",1-0,2400,D02,2716
4,PRO League Group Stage,chess.com INT,2020.01.29,4,"Harikrishna,P","Ipatov,Alexander",1-0,2631,A40,2716
5,PRO League Group Stage,chess.com INT,2020.01.29,4,"Can,Isik","Harikrishna,P",0-1,2716,B12,2374
6,PRO League Group Stage,chess.com INT,2020.02.05,5,"Harikrishna,P",Wang Yue,1-0,2669,B13,2713
7,PRO League Group Stage,chess.com INT,2020.02.05,5,"Harikrishna,P","Xu,Xiangyu",1-0,2580,C43,2713
8,PRO League Group Stage,chess.com INT,2020.02.05,5,Wei Yi,"Harikrishna,P",1/2-1/2,2713,E15,2732
9,PRO League Group Stage,chess.com INT,2020.02.05,5,Zhao Jun,"Harikrishna,P",1-0,2713,E46,2638
10,Bundesliga 2019-20,Speyer GER,2020.02.08,5.3,"Harikrishna,P","Oleksiyenko,Mykhaylo",1-0,2594,C65,2731
11,Bundesliga 2019-20,Speyer GER,2020.02.09,6.3,"Vitiugov,N","Harikrishna,P",1/2-1/2,2731,B40,2751
12,2nd Prague Masters 2019,Prague CZE,2020.02.12,1.1,"Grandelius,N","Harikrishna,P",1/2-1/2,2713,B47,2659
13,2nd Prague Masters 2019,Prague CZE,2020.02.13,2.4,"Harikrishna,P","Duda,J",1/2-1/2,2755,E00,2713
14,2nd Prague Masters 2019,Prague CZE,2020.02.14,3.1,"Firouzja,Alireza","Harikrishna,P",1-0,2713,C84,2726
15,2nd Prague Masters 2019,Prague CZE,2020.02.15,4.2,"Harikrishna,P","Shankland,S",1/2-1/2,2683,B90,2713
16,2nd Prague Masters 2019,Prague CZE,2020.02.16,5.3,"Vitiugov,N","Harikrishna,P",1/2-1/2,2713,D02,2731
17,2nd Prague Masters 2020,Prague CZE,2020.02.18,6.1,"Harikrishna,P","Anton Guijarro,D",1/2-1/2,2697,E01,2713
18,2nd Prague Masters 2020,Prague CZE,2020.02.19,7.5,"Vidit,S","Harikrishna,P",1/2-1/2,2713,D37,2721
19,2nd Prague Masters 2020,Prague CZE,2020.02.20,8.1,"Harikrishna,P","Ragger,M",1/2-1/2,2670,C84,2713
20,2nd Prague Masters 2020,Prague CZE,2020.02.21,9.1,"Navara,D","Harikrishna,P",0-1,2713,D25,2717
21,Bundesliga 2019-20,Muelheim GER,2020.02.23,8.7,"Harikrishna,P","Kempinski,R",1-0,2576,B40,2731
22,PRO League KO Stage 2020,chess.com INT,2020.03.02,1,"Erigaisi,Arjun","Harikrishna,P",1-0,2719,D25,2559
23,PRO League KO Stage 2020,chess.com INT,2020.03.02,1,"Harikrishna,P","Christiansen,Johan-Sebastian",0-1,2609,C07,2719
24,PRO League KO Stage 2020,chess.com INT,2020.03.02,1,"Harikrishna,P","Narayanan,Sri",0-1,2540,E06,2719
25,PRO League KO Stage 2020,chess.com INT,2020.03.02,1,"Niemann,Hans Moke","Harikrishna,P",1/2-1/2,2719,B20,2459
26,PRO League KO Stage 2020,chess.com INT,2020.03.10,2,"So,W","Harikrishna,P",1-0,2719,C10,2770
27,PRO League KO Stage 2020,chess.com INT,2020.03.10,2,"Harikrishna,P","Caruana,F",1/2-1/2,2842,C84,2719
28,PRO League KO Stage 2020,chess.com INT,2020.03.10,2,"Harikrishna,P","Xiong,Jeffery",1-0,2709,B01,2719
29,PRO League KO Stage 2020,chess.com INT,2020.03.10,2,"Dominguez Perez,L","Harikrishna,P",1-0,2719,C88,2758
30,Pepe Cuenca Invitational,chess24.com INT,2020.04.13,1.5,"Harikrishna,P","Duda,J",0-1,2753,B23,2719
31,Pepe Cuenca Invitational,chess24.com INT,2020.04.13,1.3,"Harikrishna,P","Duda,J",1/2-1/2,2753,D02,2719
32,Pepe Cuenca Invitational,chess24.com INT,2020.04.13,1.6,"Duda,J","Harikrishna,P",1-0,2719,D03,2753
33,Pepe Cuenca Invitational,chess24.com INT,2020.04.13,1.9,"Harikrishna,P","Duda,J",1/2-1/2,2753,B40,2719
34,Pepe Cuenca Invitational,chess24.com INT,2020.04.13,1.8,"Duda,J","Harikrishna,P",1-0,2719,D03,2753
35,Pepe Cuenca Invitational,chess24.com INT,2020.04.13,1.7,"Harikrishna,P","Duda,J",0-1,2753,A45,2719
36,Pepe Cuenca Invitational,chess24.com INT,2020.04.13,1.4,"Duda,J","Harikrishna,P",1-0,2719,C50,2753
37,Pepe Cuenca Invitational,chess24.com INT,2020.04.13,1.2,"Duda,J","Harikrishna,P",0-1,2719,C53,2753
38,Pepe Cuenca Invitational,chess24.com INT,2020.04.13,1.1,"Harikrishna,P","Duda,J",1/2-1/2,2753,A46,2719
39,Online Nations Cup Prelim,chess.com INT,2020.05.05,1.3,"Harikrishna,P","Dominguez Perez,L",1/2-1/2,2758,C67,2719
