,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
0,73rd ch-RUS 2020,Moscow RUS,2020.12.05,1.1,"Antipov,M2","Karjakin,Sergey",0-1,2752,C50,2611
1,73rd ch-RUS 2020,Moscow RUS,2020.12.06,2.1,"Karjakin,Sergey","Esipenko,Andrey",1/2-1/2,2686,C42,2752
2,73rd ch-RUS 2020,Moscow RUS,2020.12.07,3.1,"Vitiugov,N","Karjakin,Sergey",0-1,2752,C67,2720
3,73rd ch-RUS 2020,Moscow RUS,2020.12.08,4.1,"Karjakin,Sergey","Chigaev,M",1/2-1/2,2619,C88,2752
4,73rd ch-RUS 2020,Moscow RUS,2020.12.09,5.1,"Goganov,A","Karjakin,Sergey",1/2-1/2,2752,E02,2594
5,73rd ch-RUS 2020,Moscow RUS,2020.12.10,6.1,"Karjakin,Sergey","Matlakov,M",1-0,2698,E10,2752
6,73rd ch-RUS 2020,Moscow RUS,2020.12.12,7.1,"Nepomniachtchi,I","Karjakin,Sergey",1-0,2752,E20,2784
7,73rd ch-RUS 2020,Moscow RUS,2020.12.13,8.1,"Karjakin,Sergey","Svidler,P",1-0,2723,B96,2752
8,73rd ch-RUS 2020,Moscow RUS,2020.12.14,9.1,"Fedoseev,Vl3","Karjakin,Sergey",1/2-1/2,2752,E25,2674
9,73rd ch-RUS 2020,Moscow RUS,2020.12.15,10.1,"Karjakin,Sergey","Artemiev,V",1-0,2711,C75,2752
10,73rd ch-RUS 2020,Moscow RUS,2020.12.16,11.1,"Dubov,Daniil","Karjakin,Sergey",1-0,2752,C53,2702
11,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.15,2.1,"Karjakin,Sergey","Vokhidov,Shamsiddin",1-0,2530,B67,2757
12,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.16,2.2,"Vokhidov,Shamsiddin","Karjakin,Sergey",0-1,2757,C53,2530
13,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.18,3.1,"Oparin,G","Karjakin,Sergey",0-1,2757,E10,2654
14,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.19,3.2,"Karjakin,Sergey","Oparin,G",1/2-1/2,2654,B51,2757
15,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.22,4.1,"Karjakin,Sergey","Artemiev,V",1/2-1/2,2704,B12,2757
16,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.23,4.2,"Artemiev,V","Karjakin,Sergey",1/2-1/2,2757,E46,2704
17,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.24,4.5,"Artemiev,V","Karjakin,Sergey",0-1,2757,A45,2704
18,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.24,4.3,"Artemiev,V","Karjakin,Sergey",1-0,2757,A07,2704
19,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.24,4.6,"Karjakin,Sergey","Artemiev,V",1/2-1/2,2704,B47,2757
20,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.24,4.4,"Karjakin,Sergey","Artemiev,V",1-0,2704,B12,2757
21,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.25,5.1,"Vachier Lagrave,M","Karjakin,Sergey",1/2-1/2,2757,C67,2749
22,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.26,5.2,"Karjakin,Sergey","Vachier Lagrave,M",1/2-1/2,2749,D85,2757
23,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.27,5.6,"Vachier Lagrave,M","Karjakin,Sergey",0-1,2757,A45,2749
24,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.27,5.3,"Vachier Lagrave,M","Karjakin,Sergey",1/2-1/2,2757,C67,2749
25,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.27,5.5,"Karjakin,Sergey","Vachier Lagrave,M",1/2-1/2,2749,A34,2757
26,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.27,5.4,"Karjakin,Sergey","Vachier Lagrave,M",1/2-1/2,2749,A34,2757
27,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.28,6.1,"Shankland,S","Karjakin,Sergey",1-0,2757,A20,2709
28,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.29,6.2,"Karjakin,Sergey","Shankland,S",1-0,2709,C00,2757
29,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.30,6.5,"Karjakin,Sergey","Shankland,S",1-0,2709,B90,2757
30,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.30,6.6,"Shankland,S","Karjakin,Sergey",0-1,2757,A15,2709
31,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.30,6.4,"Karjakin,Sergey","Shankland,S",1-0,2709,B90,2757
32,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.30,6.3,"Shankland,S","Karjakin,Sergey",1-0,2757,E06,2709
33,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.08.01,7.1,"Fedoseev,Vl3","Karjakin,Sergey",1/2-1/2,2757,D41,2696
34,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.08.02,7.2,"Karjakin,Sergey","Fedoseev,Vl3",1-0,2696,C92,2757
35,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.08.04,8.1,"Karjakin,Sergey","Duda,J",1/2-1/2,2738,D37,2757
36,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.08.05,8.2,"Duda,J","Karjakin,Sergey",1-0,2757,D41,2738
37,Smyslov Region Group Cup,Moscow RUS,2021.08.16,1.4,"Karjakin,Sergey","Chigaev,M",1-0,2643,E60,2757
38,Smyslov Region Group Cup,Moscow RUS,2021.08.16,2.4,"Chigaev,M","Karjakin,Sergey",1-0,2757,B12,2643
39,Smyslov Region Group Cup,Moscow RUS,2021.08.16,3.5,"Esipenko,Andrey","Karjakin,Sergey",0-1,2757,B12,2716
40,Smyslov Region Group Cup,Moscow RUS,2021.08.16,4.5,"Karjakin,Sergey","Esipenko,Andrey",0-1,2716,A46,2757
