,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
1658,PRO League Group Stage,chess.com INT,2020.01.06,1,Le Quang Liem,"Moranda,W",1/2-1/2,2601,E04,2713
1659,PRO League Group Stage,chess.com INT,2020.01.06,1,"Sevian,Samuel",Le Quang Liem,0-1,2713,A35,2660
1660,PRO League Group Stage,chess.com INT,2020.01.06,1,"Guseinov,G",Le Quang Liem,1/2-1/2,2713,C67,2666
1661,PRO League Group Stage,chess.com INT,2020.01.06,1,Le Quang Liem,"Nakamura,Hi",0-1,2736,D20,2713
1662,PRO League Group Stage,chess.com INT,2020.01.13,2,"Berchtenbreiter,M",Le Quang Liem,0-1,2713,B30,2488
1663,PRO League Group Stage,chess.com INT,2020.01.13,2,Le Quang Liem,"Harvey,Marcus R",0-1,2419,E15,2713
1664,PRO League Group Stage,chess.com INT,2020.01.13,2,Le Quang Liem,"Speelman,J",1-0,2509,B12,2713
1665,PRO League Group Stage,chess.com INT,2020.01.13,2,"Jones,G",Le Quang Liem,1/2-1/2,2713,B23,2679
1666,Gibraltar Masters 2020,Caleta ENG,2020.01.21,1.6,Le Quang Liem,"Trent,L",1-0,2383,C78,2713
1667,Gibraltar Masters 2020,Caleta ENG,2020.01.22,2.6,Tan Zhongyi,Le Quang Liem,0-1,2713,E36,2493
1668,Gibraltar Masters 2020,Caleta ENG,2020.01.23,3.2,Le Quang Liem,"Vaibhav,S",1/2-1/2,2593,B23,2713
1669,Gibraltar Masters 2020,Caleta ENG,2020.01.24,4.7,"Peralta,Fe",Le Quang Liem,1/2-1/2,2713,E48,2574
1670,Gibraltar Masters 2020,Caleta ENG,2020.01.25,5.10,Le Quang Liem,"Maze,S",1/2-1/2,2550,E70,2713
1671,Gibraltar Masters 2020,Caleta ENG,2020.01.26,6.10,"Sanal,V",Le Quang Liem,1-0,2713,B67,2569
1672,Gibraltar Masters 2020,Caleta ENG,2020.01.27,7.28,Le Quang Liem,"Plotkin,V",1-0,2267,A20,2713
1673,PRO League Group Stage,chess.com INT,2020.01.27,4,"Oparin,G",Le Quang Liem,0-1,2713,A13,2650
1674,PRO League Group Stage,chess.com INT,2020.01.27,4,Le Quang Liem,"Swiercz,D",1-0,2659,A20,2713
1675,PRO League Group Stage,chess.com INT,2020.01.27,4,"Zierk,S",Le Quang Liem,0-1,2713,B31,2509
1676,PRO League Group Stage,chess.com INT,2020.01.27,4,Le Quang Liem,"Naroditsky,D",1-0,2621,B08,2713
1677,Gibraltar Masters 2020,Caleta ENG,2020.01.28,8.19,"Lalith,B",Le Quang Liem,0-1,2713,E15,2558
1678,Gibraltar Masters 2020,Caleta ENG,2020.01.29,9.9,Le Quang Liem,"Santos Latasa,J",1-0,2586,B90,2713
1679,Gibraltar Masters 2020,Caleta ENG,2020.01.30,10.6,"Kobalia,M",Le Quang Liem,1/2-1/2,2713,C50,2609
1680,PRO League Group Stage,chess.com INT,2020.02.03,5,Le Quang Liem,"Hansen,Eric",1-0,2606,B41,2713
1681,PRO League Group Stage,chess.com INT,2020.02.03,5,"Saric,Iv",Le Quang Liem,0-1,2713,C65,2646
1682,PRO League Group Stage,chess.com INT,2020.02.03,5,Le Quang Liem,"Grischuk,A",1/2-1/2,2777,B92,2713
1683,PRO League Group Stage,chess.com INT,2020.02.03,5,"Firouzja,Alireza",Le Quang Liem,1/2-1/2,2713,C67,2726
1684,1st Abu Dhabi Super Blitz,chess.com INT,2020.04.15,2,"Blohberger,Felix",Le Quang Liem,0-1,2709,E53,2467
1685,1st Abu Dhabi Super Blitz,chess.com INT,2020.04.15,7,Le Quang Liem,"Deac,Bogdan-Daniel",1-0,2625,C50,2709
1686,1st Abu Dhabi Super Blitz,chess.com INT,2020.04.15,8,"Sychev,K",Le Quang Liem,1-0,2709,B15,2572
1687,1st Abu Dhabi Super Blitz,chess.com INT,2020.04.15,9,Le Quang Liem,"Cvitan,O",0-1,2467,B78,2709
1688,1st Abu Dhabi Super Blitz,chess.com INT,2020.04.15,11,Le Quang Liem,"Krzyzanowski,M",0-1,2521,C72,2709
1689,Titled Tuesday 28th Apr,chess.com INT,2020.04.28,2,Le Quang Liem,"Posthuma,Joshua",1-0,2339,A57,2709
1690,Titled Tuesday 28th Apr,chess.com INT,2020.04.28,3,"Yashmetov,Mikhail",Le Quang Liem,0-1,2709,A04,2298
1691,Titled Tuesday 28th Apr,chess.com INT,2020.04.28,4,Le Quang Liem,"Gasanov,E",1-0,2481,D30,2709
1692,Titled Tuesday 28th Apr,chess.com INT,2020.04.28,5,"Grandelius,N",Le Quang Liem,0-1,2709,C49,2651
1693,Titled Tuesday 28th Apr,chess.com INT,2020.04.28,6,Le Quang Liem,"Laurusas,T",1/2-1/2,2511,D11,2709
1694,Titled Tuesday 28th Apr,chess.com INT,2020.04.28,7,"Gorodetzky,David",Le Quang Liem,0-1,2709,A20,2489
1695,Titled Tuesday 28th Apr,chess.com INT,2020.04.28,8,Le Quang Liem,"Kovalev,Vl",1/2-1/2,2648,E06,2709
1696,Titled Tuesday 28th Apr,chess.com INT,2020.04.28,9,"Drygalov,Andrey",Le Quang Liem,1-0,2709,B31,2495
1697,Titled Tuesday 5th May,chess.com INT,2020.05.05,1,Le Quang Liem,"Ezat,M",1-0,2401,E70,2709
1698,Titled Tuesday 5th May,chess.com INT,2020.05.05,2,"Vlasenko,M",Le Quang Liem,0-1,2709,C28,2431
1699,Titled Tuesday 5th May,chess.com INT,2020.05.05,3,Le Quang Liem,"Kozionov,Kirill",1-0,2470,E70,2709
1700,Titled Tuesday 5th May,chess.com INT,2020.05.05,4,"Salinas Herrera,P",Le Quang Liem,1-0,2709,C78,2514
1701,Titled Tuesday 5th May,chess.com INT,2020.05.05,6,"Pichot,A",Le Quang Liem,0-1,2709,C78,2630
1702,Titled Tuesday 5th May,chess.com INT,2020.05.05,7,Le Quang Liem,"David,Alexandru",1-0,2428,E05,2709
1703,Titled Tuesday 5th May,chess.com INT,2020.05.05,8,"Zierk,S",Le Quang Liem,1-0,2709,A20,2499
1704,Titled Tuesday 5th May,chess.com INT,2020.05.05,9,"Keymer,Vincent",Le Quang Liem,1/2-1/2,2709,E15,2558
1705,Titled Tuesday 5th May,chess.com INT,2020.05.05,10,Le Quang Liem,"Cardoso Cardoso,Jose Gabriel",1-0,2414,B06,2709
1706,Titled Tuesday 12th May,chess.com INT,2020.05.12,1,"Gevorgyan,D",Le Quang Liem,1-0,2709,E46,2316
1707,Titled Tuesday 12th May,chess.com INT,2020.05.12,5,"Preotu,Razvan",Le Quang Liem,0-1,2709,C78,2487
