,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
0,Gibraltar Masters 2020,Caleta ENG,2020.01.21,1.1,"Mullick,Raahil","Mamedyarov,S",0-1,2770,C60,2382
1,Gibraltar Masters 2020,Caleta ENG,2020.01.22,2.1,"Mamedyarov,S","Gordon,S",1-0,2504,D38,2770
2,Gibraltar Masters 2020,Caleta ENG,2020.01.23,3.1,"Moussard,J","Mamedyarov,S",1/2-1/2,2770,C81,2600
3,Gibraltar Masters 2020,Caleta ENG,2020.01.24,4.3,"Mamedyarov,S","Krysa,L",1/2-1/2,2522,D37,2770
4,Gibraltar Masters 2020,Caleta ENG,2020.01.25,5.7,"Peralta,Fe","Mamedyarov,S",1/2-1/2,2770,D86,2574
5,Gibraltar Masters 2020,Caleta ENG,2020.01.26,6.8,"Mamedyarov,S","Aryan,C",1/2-1/2,2562,D85,2770
6,Gibraltar Masters 2020,Caleta ENG,2020.01.27,7.12,"Mamedyarov,S","Muzychuk,A",1-0,2539,A35,2770
7,World Stars Sharjah Int,ICC INT,2020.06.12,1.3,"Wojtaszek,R","Mamedyarov,S",1/2-1/2,2764,D27,2719
8,World Stars Sharjah Int,ICC INT,2020.06.12,2.2,"Mamedyarov,S","Kasimdzhanov,R",1-0,2661,D45,2764
9,World Stars Sharjah Int,ICC INT,2020.06.12,3.3,"Harikrishna,P","Mamedyarov,S",0-1,2764,C77,2719
10,World Stars Sharjah Int,ICC INT,2020.06.12,4.1,"Amin,B","Mamedyarov,S",1/2-1/2,2764,C50,2686
11,World Stars Sharjah Int,ICC INT,2020.06.12,5.1,"Mamedyarov,S","Salem,AR",1-0,2682,D73,2764
12,World Stars Sharjah Int,ICC INT,2020.06.13,6.3,"Mamedyarov,S","Wojtaszek,R",1/2-1/2,2719,A28,2764
13,World Stars Sharjah Int,ICC INT,2020.06.13,7.2,"Kasimdzhanov,R","Mamedyarov,S",1/2-1/2,2764,C81,2661
14,World Stars Sharjah Int,ICC INT,2020.06.13,8.1,"Mamedyarov,S","Harikrishna,P",1/2-1/2,2719,D31,2764
15,World Stars Sharjah Int,ICC INT,2020.06.13,9.1,"Mamedyarov,S","Amin,B",1-0,2686,C25,2764
16,World Stars Sharjah Int,ICC INT,2020.06.13,10.2,"Salem,AR","Mamedyarov,S",0-1,2764,D24,2682
17,Grandmaster Battle 2 2020,PlayChess INT,2020.07.07,1,"Sanal,V","Mamedyarov,S",1-0,2764,C09,2581
18,Grandmaster Battle 2 2020,PlayChess INT,2020.07.07,2,"Mamedyarov,S","Sanal,V",1-0,2581,D30,2764
19,Grandmaster Battle 2 2020,PlayChess INT,2020.07.07,3,"Sanal,V","Mamedyarov,S",0-1,2764,C43,2581
20,Grandmaster Battle 2 2020,PlayChess INT,2020.07.07,4,"Mamedyarov,S","Sanal,V",1/2-1/2,2581,D30,2764
21,Grandmaster Battle 2 2020,PlayChess INT,2020.07.08,5,"Sanal,V","Mamedyarov,S",0-1,2764,B33,2581
22,Grandmaster Battle 2 2020,PlayChess INT,2020.07.08,6,"Mamedyarov,S","Sanal,V",0-1,2581,D30,2764
23,Grandmaster Battle 2 2020,PlayChess INT,2020.07.08,7,"Sanal,V","Mamedyarov,S",1/2-1/2,2764,B33,2581
24,Grandmaster Battle 2 2020,PlayChess INT,2020.07.08,8,"Mamedyarov,S","Sanal,V",0-1,2581,D30,2764
25,Grandmaster Battle 2 2020,PlayChess INT,2020.07.09,9,"Sanal,V","Mamedyarov,S",0-1,2764,B45,2581
26,Grandmaster Battle 2 2020,PlayChess INT,2020.07.09,10,"Mamedyarov,S","Sanal,V",1/2-1/2,2581,D02,2764
27,Grandmaster Battle 2 2020,PlayChess INT,2020.07.09,11,"Sanal,V","Mamedyarov,S",0-1,2764,B45,2581
28,Grandmaster Battle 2 2020,PlayChess INT,2020.07.09,12,"Mamedyarov,S","Sanal,V",1-0,2581,A41,2764
29,Grandmaster Battle 2 2020,PlayChess INT,2020.07.10,13,"Sanal,V","Mamedyarov,S",1/2-1/2,2764,C47,2581
