,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
110,?,?,????.??.??,?,?,?,1-0,,,
3148,chess.com Speed 2019,chess.com INT,2020.01.05,3.9,"Nakamura,Hi","Nepomniachtchi,I",0-1,2776,B50,2745
3149,chess.com Speed 2019,chess.com INT,2020.01.05,3.8,"Nepomniachtchi,I","Nakamura,Hi",1/2-1/2,2745,C50,2776
3150,chess.com Speed 2019,chess.com INT,2020.01.05,3.7,"Nakamura,Hi","Nepomniachtchi,I",1-0,2776,B23,2745
3151,chess.com Speed 2019,chess.com INT,2020.01.05,3.6,"Nepomniachtchi,I","Nakamura,Hi",1/2-1/2,2745,C50,2776
3152,chess.com Speed 2019,chess.com INT,2020.01.05,3.1,"Nakamura,Hi","Nepomniachtchi,I",1-0,2776,B50,2745
3153,chess.com Speed 2019,chess.com INT,2020.01.05,3.12,"Nepomniachtchi,I","Nakamura,Hi",0-1,2745,C50,2776
3154,chess.com Speed 2019,chess.com INT,2020.01.05,3.13,"Nakamura,Hi","Nepomniachtchi,I",1/2-1/2,2776,B51,2745
3155,chess.com Speed 2019,chess.com INT,2020.01.05,3.14,"Nepomniachtchi,I","Nakamura,Hi",1-0,2745,C50,2776
3156,chess.com Speed 2019,chess.com INT,2020.01.05,3.15,"Nakamura,Hi","Nepomniachtchi,I",0-1,2776,B50,2745
3157,chess.com Speed 2019,chess.com INT,2020.01.05,3.3,"Nakamura,Hi","Nepomniachtchi,I",1-0,2776,B23,2745
3158,chess.com Speed 2019,chess.com INT,2020.01.05,3.5,"Nakamura,Hi","Nepomniachtchi,I",0-1,2776,B50,2745
3159,chess.com Speed 2019,chess.com INT,2020.01.05,3.18,"Nepomniachtchi,I","Nakamura,Hi",0-1,2745,C48,2776
3160,chess.com Speed 2019,chess.com INT,2020.01.05,3.19,"Nakamura,Hi","Nepomniachtchi,I",1/2-1/2,2776,B51,2745
3161,chess.com Speed 2019,chess.com INT,2020.01.05,3.20,"Nepomniachtchi,I","Nakamura,Hi",1-0,2745,C50,2776
