,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
0,chess.com Speed 2019,chess.com INT,2020.01.05,3.9,"Nakamura,Hi","Nepomniachtchi,I",0-1,2776,B50,2745
1,chess.com Speed 2019,chess.com INT,2020.01.05,3.8,"Nepomniachtchi,I","Nakamura,Hi",1/2-1/2,2745,C50,2776
2,chess.com Speed 2019,chess.com INT,2020.01.05,3.7,"Nakamura,Hi","Nepomniachtchi,I",1-0,2776,B23,2745
3,chess.com Speed 2019,chess.com INT,2020.01.05,3.6,"Nepomniachtchi,I","Nakamura,Hi",1/2-1/2,2745,C50,2776
4,chess.com Speed 2019,chess.com INT,2020.01.05,3.1,"Nakamura,Hi","Nepomniachtchi,I",1-0,2776,B50,2745
5,chess.com Speed 2019,chess.com INT,2020.01.05,3.12,"Nepomniachtchi,I","Nakamura,Hi",0-1,2745,C50,2776
6,chess.com Speed 2019,chess.com INT,2020.01.05,3.13,"Nakamura,Hi","Nepomniachtchi,I",1/2-1/2,2776,B51,2745
7,chess.com Speed 2019,chess.com INT,2020.01.05,3.14,"Nepomniachtchi,I","Nakamura,Hi",1-0,2745,C50,2776
8,chess.com Speed 2019,chess.com INT,2020.01.05,3.15,"Nakamura,Hi","Nepomniachtchi,I",0-1,2776,B50,2745
9,chess.com Speed 2019,chess.com INT,2020.01.05,3.3,"Nakamura,Hi","Nepomniachtchi,I",1-0,2776,B23,2745
10,chess.com Speed 2019,chess.com INT,2020.01.05,3.5,"Nakamura,Hi","Nepomniachtchi,I",0-1,2776,B50,2745
11,chess.com Speed 2019,chess.com INT,2020.01.05,3.18,"Nepomniachtchi,I","Nakamura,Hi",0-1,2745,C48,2776
12,chess.com Speed 2019,chess.com INT,2020.01.05,3.19,"Nakamura,Hi","Nepomniachtchi,I",1/2-1/2,2776,B51,2745
13,chess.com Speed 2019,chess.com INT,2020.01.05,3.20,"Nepomniachtchi,I","Nakamura,Hi",1-0,2745,C50,2776
14,chess.com Speed 2019,chess.com INT,2020.01.05,3.21,"Nakamura,Hi","Nepomniachtchi,I",1/2-1/2,2776,B50,2745
15,chess.com Speed 2019,chess.com INT,2020.01.05,3.22,"Nepomniachtchi,I","Nakamura,Hi",0-1,2745,C48,2776
16,chess.com Speed 2019,chess.com INT,2020.01.05,3.23,"Nakamura,Hi","Nepomniachtchi,I",1-0,2776,A04,2745
17,chess.com Speed 2019,chess.com INT,2020.01.05,3.24,"Nepomniachtchi,I","Nakamura,Hi",1/2-1/2,2745,B06,2776
18,chess.com Speed 2019,chess.com INT,2020.01.05,3.4,"Nepomniachtchi,I","Nakamura,Hi",0-1,2745,C65,2776
19,chess.com Speed 2019,chess.com INT,2020.01.05,3.26,"Nepomniachtchi,I","Nakamura,Hi",1-0,2745,B06,2776
20,chess.com Speed 2019,chess.com INT,2020.01.05,3.27,"Nakamura,Hi","Nepomniachtchi,I",1-0,2776,B90,2745
21,chess.com Speed 2019,chess.com INT,2020.01.05,3.28,"Nepomniachtchi,I","Nakamura,Hi",0-1,2745,B33,2776
22,chess.com Speed 2019,chess.com INT,2020.01.05,3.29,"Nakamura,Hi","Nepomniachtchi,I",0-1,2776,B23,2745
23,chess.com Speed 2019,chess.com INT,2020.01.05,3.16,"Nepomniachtchi,I","Nakamura,Hi",1-0,2745,C48,2776
24,chess.com Speed 2019,chess.com INT,2020.01.05,3.2,"Nepomniachtchi,I","Nakamura,Hi",1-0,2745,C50,2776
25,chess.com Speed 2019,chess.com INT,2020.01.05,3.17,"Nakamura,Hi","Nepomniachtchi,I",1-0,2776,B50,2745
26,chess.com Speed 2019,chess.com INT,2020.01.05,3.10,"Nepomniachtchi,I","Nakamura,Hi",0-1,2745,C50,2776
27,chess.com Speed 2019,chess.com INT,2020.01.05,3.11,"Nakamura,Hi","Nepomniachtchi,I",1-0,2776,B51,2745
28,chess.com Speed 2019,chess.com INT,2020.01.05,3.25,"Nakamura,Hi","Nepomniachtchi,I",1-0,2776,A05,2745
29,chess.com Speed 2019,chess.com INT,2020.01.05,3.32,"Nepomniachtchi,I","Nakamura,Hi",1/2-1/2,2745,B10,2776
30,chess.com Speed 2019,chess.com INT,2020.01.05,3.31,"Nakamura,Hi","Nepomniachtchi,I",0-1,2776,B23,2745
31,chess.com Speed 2019,chess.com INT,2020.01.05,3.30,"Nepomniachtchi,I","Nakamura,Hi",1-0,2745,B10,2776
32,PRO League Group Stage,chess.com INT,2020.01.23,3,"Martirosyan,Haik M.","Nepomniachtchi,I",0-1,2774,B08,2613
33,PRO League Group Stage,chess.com INT,2020.01.23,3,"Nepomniachtchi,I","Petrosian,TL",1-0,2601,B10,2774
34,PRO League Group Stage,chess.com INT,2020.01.23,3,"Sargsyan,Shant","Nepomniachtchi,I",1-0,2774,A33,2601
35,PRO League Group Stage,chess.com INT,2020.01.23,3,"Nepomniachtchi,I","Andriasian,Z",1-0,2611,B10,2774
36,PRO League Group Stage,chess.com INT,2020.02.12,6,"Nepomniachtchi,I","Narayanan,SL",1-0,2637,C65,2774
37,PRO League Group Stage,chess.com INT,2020.02.12,6,"Mamedyarov,S","Nepomniachtchi,I",0-1,2774,D02,2770
38,PRO League Group Stage,chess.com INT,2020.02.12,6,"Nepomniachtchi,I","Karthikeyan,M2",1-0,2602,C65,2774
39,PRO League Group Stage,chess.com INT,2020.02.12,6,"Gupta,Ab","Nepomniachtchi,I",0-1,2774,D85,2608
40,PRO League KO Stage 2020,chess.com INT,2020.03.05,1,"Nepomniachtchi,I","Cori,J",1-0,2652,A27,2774
41,PRO League KO Stage 2020,chess.com INT,2020.03.05,1,"Shimanov,A","Nepomniachtchi,I",1-0,2774,A45,2593
42,PRO League KO Stage 2020,chess.com INT,2020.03.05,1,"Nepomniachtchi,I","Nyzhnyk,I",1/2-1/2,2665,A13,2774
43,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.17,1.3,"Giri,A","Nepomniachtchi,I",0-1,2774,A33,2763
44,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.18,2.2,"Nepomniachtchi,I","Grischuk,A",1/2-1/2,2777,C67,2774
45,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.19,3.4,"Alekseenko,K","Nepomniachtchi,I",1/2-1/2,2774,C19,2698
46,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.21,4.1,"Caruana,F","Nepomniachtchi,I",1/2-1/2,2774,D87,2842
47,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.22,5.4,"Nepomniachtchi,I",Wang Hao,1-0,2762,C42,2774
48,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.23,6.3,"Nepomniachtchi,I",Ding Liren,1-0,2805,C84,2774
49,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.25,7.2,"Vachier Lagrave,M","Nepomniachtchi,I",1-0,2774,C19,2767
