,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
0,PRO League Group Stage,chess.com INT,2020.01.06,1,"Moranda,W","So,W",1/2-1/2,2765,D38,2601
1,PRO League Group Stage,chess.com INT,2020.01.06,1,"So,W","Sevian,Samuel",1-0,2660,A61,2765
2,PRO League Group Stage,chess.com INT,2020.01.06,1,"Nakamura,Hi","So,W",0-1,2765,C26,2736
3,PRO League Group Stage,chess.com INT,2020.01.06,1,"So,W","Guseinov,G",1-0,2666,B36,2765
4,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.11,1.4,"Caruana,F","So,W",1/2-1/2,2765,D94,2822
5,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.12,2.7,"So,W","Anand,V",1-0,2758,C53,2765
6,PRO League Group Stage,chess.com INT,2020.01.13,2,"Berchtenbreiter,M","So,W",0-1,2765,B94,2488
7,PRO League Group Stage,chess.com INT,2020.01.13,2,"So,W","Speelman,J",1-0,2509,A40,2765
8,PRO League Group Stage,chess.com INT,2020.01.13,2,"So,W","Harvey,Marcus R",0-1,2419,C11,2765
9,PRO League Group Stage,chess.com INT,2020.01.13,2,"Jones,G","So,W",1/2-1/2,2765,C54,2679
10,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.13,3.4,"Vitiugov,N","So,W",1/2-1/2,2765,C83,2747
11,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.14,4.4,"So,W","Firouzja,Alireza",1-0,2723,D27,2765
12,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.16,5.6,"Kovalev,Vl","So,W",1/2-1/2,2765,C67,2660
13,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.17,6.4,"So,W","Duda,J",1/2-1/2,2758,E04,2765
14,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.18,7.5,"Artemiev,V","So,W",1/2-1/2,2765,A06,2731
15,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.19,8.4,"Dubov,Daniil","So,W",1/2-1/2,2765,D38,2683
16,PRO League Group Stage,chess.com INT,2020.01.20,3,"Robson,R","So,W",0-1,2765,C88,2673
17,PRO League Group Stage,chess.com INT,2020.01.20,3,"So,W","Quesada Perez,Yu",1/2-1/2,2601,D35,2765
18,PRO League Group Stage,chess.com INT,2020.01.20,3,"Bruzon Batista,L","So,W",0-1,2765,A07,2640
19,PRO League Group Stage,chess.com INT,2020.01.20,3,"So,W","Nyzhnyk,I",0-1,2662,D31,2765
20,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.21,9.5,"So,W","Giri,A",1/2-1/2,2768,D14,2765
21,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.22,10.7,Yu Yangyi,"So,W",1/2-1/2,2765,C47,2726
22,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.24,11.6,"So,W","Xiong,Jeffery",1/2-1/2,2712,B90,2765
23,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.25,12.4,"Van Foreest,Jorden","So,W",1/2-1/2,2765,C47,2644
24,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.26,13.1,"So,W","Carlsen,M",1/2-1/2,2872,C47,2765
25,PRO League Group Stage,chess.com INT,2020.01.27,4,"Swiercz,D","So,W",1/2-1/2,2765,C67,2659
26,PRO League Group Stage,chess.com INT,2020.01.27,4,"So,W","Oparin,G",1-0,2650,C84,2765
27,PRO League Group Stage,chess.com INT,2020.01.27,4,"So,W","Zierk,S",1-0,2509,C15,2765
28,PRO League Group Stage,chess.com INT,2020.02.03,5,"So,W","Saric,Iv",1/2-1/2,2646,E81,2770
29,PRO League Group Stage,chess.com INT,2020.02.03,5,"Grischuk,A","So,W",1/2-1/2,2770,D38,2777
30,PRO League Group Stage,chess.com INT,2020.02.03,5,"So,W","Firouzja,Alireza",1-0,2726,E09,2770
31,PRO League Group Stage,chess.com INT,2020.02.03,5,"Hansen,Eric","So,W",0-1,2770,C77,2606
32,PRO League Group Stage,chess.com INT,2020.02.10,6,"So,W","Obregon,A",1-0,2525,E10,2770
33,PRO League Group Stage,chess.com INT,2020.02.10,6,"Villanueva,Mar","So,W",0-1,2770,B90,2478
34,PRO League Group Stage,chess.com INT,2020.02.10,6,"So,W","Perez,Max",1-0,2417,E81,2770
35,PRO League Group Stage,chess.com INT,2020.02.10,6,"Flores,Di","So,W",1/2-1/2,2770,A28,2599
36,PRO League Group Stage,chess.com INT,2020.02.17,7,"So,W","Supi,L",1-0,2577,E15,2765
37,PRO League Group Stage,chess.com INT,2020.02.17,7,"So,W","Mekhitarian,K",1-0,2563,C65,2765
38,PRO League Group Stage,chess.com INT,2020.02.17,7,"Diamant,A","So,W",0-1,2765,A20,2547
39,PRO League Group Stage,chess.com INT,2020.02.17,7,"Leitao,R","So,W",1/2-1/2,2765,D38,2592
40,chess.com Speed 2019,chess.com INT,2020.02.21,4.27,"Nakamura,Hi","So,W",0-1,2767,A01,2745
41,chess.com Speed 2019,chess.com INT,2020.02.21,4.15,"Nakamura,Hi","So,W",0-1,2767,C46,2745
42,chess.com Speed 2019,chess.com INT,2020.02.21,4.2,"So,W","Nakamura,Hi",0-1,2745,C50,2767
43,chess.com Speed 2019,chess.com INT,2020.02.21,4.14,"So,W","Nakamura,Hi",1/2-1/2,2745,C53,2767
44,chess.com Speed 2019,chess.com INT,2020.02.21,4.5,"Nakamura,Hi","So,W",1/2-1/2,2767,A48,2745
45,chess.com Speed 2019,chess.com INT,2020.02.21,4.6,"So,W","Nakamura,Hi",1/2-1/2,2745,C45,2767
46,chess.com Speed 2019,chess.com INT,2020.02.21,4.26,"So,W","Nakamura,Hi",0-1,2745,C65,2767
47,chess.com Speed 2019,chess.com INT,2020.02.21,4.7,"Nakamura,Hi","So,W",1-0,2767,C42,2745
48,chess.com Speed 2019,chess.com INT,2020.02.21,4.30,"So,W","Nakamura,Hi",1-0,2745,C65,2767
49,chess.com Speed 2019,chess.com INT,2020.02.21,4.28,"So,W","Nakamura,Hi",0-1,2745,C65,2767
50,chess.com Speed 2019,chess.com INT,2020.02.21,4.29,"Nakamura,Hi","So,W",1-0,2767,E60,2745
51,chess.com Speed 2019,chess.com INT,2020.02.21,4.23,"Nakamura,Hi","So,W",1/2-1/2,2767,D37,2745
52,chess.com Speed 2019,chess.com INT,2020.02.21,4.22,"So,W","Nakamura,Hi",1-0,2745,C53,2767
53,chess.com Speed 2019,chess.com INT,2020.02.21,4.3,"Nakamura,Hi","So,W",1-0,2767,D27,2745
54,chess.com Speed 2019,chess.com INT,2020.02.21,4.20,"So,W","Nakamura,Hi",1/2-1/2,2745,C65,2767
55,chess.com Speed 2019,chess.com INT,2020.02.21,4.19,"Nakamura,Hi","So,W",1-0,2767,A78,2745
56,chess.com Speed 2019,chess.com INT,2020.02.21,4.18,"So,W","Nakamura,Hi",0-1,2745,C65,2767
57,chess.com Speed 2019,chess.com INT,2020.02.21,4.17,"Nakamura,Hi","So,W",0-1,2767,E60,2745
58,chess.com Speed 2019,chess.com INT,2020.02.21,4.16,"So,W","Nakamura,Hi",1-0,2745,C65,2767
59,chess.com Speed 2019,chess.com INT,2020.02.21,4.9,"Nakamura,Hi","So,W",1-0,2767,D01,2745
60,chess.com Speed 2019,chess.com INT,2020.02.21,4.13,"Nakamura,Hi","So,W",1/2-1/2,2767,C46,2745
61,chess.com Speed 2019,chess.com INT,2020.02.21,4.31,"Nakamura,Hi","So,W",1-0,2767,C27,2745
