,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
1457,PRO League Group Stage,chess.com INT,2020.01.08,1,"Xu,Xiangyu","Tomashevsky,E",1-0,2705,A45,2580
1458,PRO League Group Stage,chess.com INT,2020.01.08,1,Wei Yi,"Tomashevsky,E",1/2-1/2,2705,E90,2732
1459,PRO League Group Stage,chess.com INT,2020.01.08,1,"Tomashevsky,E","Bai,Jinshi",1-0,2618,A11,2705
1460,PRO League Group Stage,chess.com INT,2020.01.08,1,"Tomashevsky,E",Wen Yang,1/2-1/2,2594,D35,2705
1461,PRO League Group Stage,chess.com INT,2020.01.15,2,"Firat,B","Tomashevsky,E",1/2-1/2,2705,C88,2474
1462,PRO League Group Stage,chess.com INT,2020.01.15,2,"Tomashevsky,E","Sanal,V",1-0,2569,A30,2705
1463,PRO League Group Stage,chess.com INT,2020.01.15,2,"Solak,D","Tomashevsky,E",1-0,2705,C67,2594
1464,PRO League Group Stage,chess.com INT,2020.01.15,2,"Tomashevsky,E","Dastan,B",1/2-1/2,2572,A11,2705
1465,PRO League Group Stage,chess.com INT,2020.01.23,3,"Tomashevsky,E","Martirosyan,Haik M.",1-0,2613,A20,2705
1466,PRO League Group Stage,chess.com INT,2020.01.23,3,"Andriasian,Z","Tomashevsky,E",1/2-1/2,2705,C67,2611
1467,PRO League Group Stage,chess.com INT,2020.01.23,3,"Tomashevsky,E","Sargsyan,Shant",1/2-1/2,2601,E10,2705
1468,PRO League Group Stage,chess.com INT,2020.01.23,3,"Petrosian,TL","Tomashevsky,E",1/2-1/2,2705,A07,2601
1469,PRO League Group Stage,chess.com INT,2020.01.29,4,"Tomashevsky,E","Plat,V",1-0,2589,A20,2705
1470,PRO League Group Stage,chess.com INT,2020.01.29,4,"Livaic,Leon","Tomashevsky,E",0-1,2705,A45,2495
1471,PRO League Group Stage,chess.com INT,2020.01.29,4,"Tomashevsky,E",Le Tuan Minh,1/2-1/2,2501,A11,2705
1472,PRO League Group Stage,chess.com INT,2020.01.29,4,"Saric,A","Tomashevsky,E",1/2-1/2,2705,D38,2559
1473,Bundesliga 2019-20,Speyer GER,2020.02.08,5.4,"Vrolijk,Liam","Tomashevsky,E",1/2-1/2,2712,E11,2462
1474,Bundesliga 2019-20,Speyer GER,2020.02.09,6.3,"Tomashevsky,E","Ganguly,S",1/2-1/2,2644,A06,2712
1475,6th Nutcracker Classical,Moscow RUS,2020.03.04,1.3,"Yuffa,D","Tomashevsky,E",0-1,2701,D30,2594
1476,6th Nutcracker Classical,Moscow RUS,2020.03.05,2.3,"Sarana,A","Tomashevsky,E",1/2-1/2,2701,A22,2652
1477,6th Nutcracker Classical,Moscow RUS,2020.03.06,3.3,"Tomashevsky,E","Lomasov,Semyon",1-0,2533,E11,2701
1478,6th Nutcracker Classical,Moscow RUS,2020.03.07,4.3,"Tomashevsky,E","Esipenko,Andrey",1/2-1/2,2672,C67,2701
1479,6th Nutcracker Rapid,Moscow RUS,2020.03.08,1.3,"Yuffa,D","Tomashevsky,E",0-1,2701,E06,2594
1480,6th Nutcracker Rapid,Moscow RUS,2020.03.08,2.3,"Tomashevsky,E","Lomasov,Semyon",1-0,2533,E11,2701
1481,6th Nutcracker Rapid,Moscow RUS,2020.03.08,3.3,"Sarana,A","Tomashevsky,E",1-0,2701,A29,2652
1482,6th Nutcracker Rapid,Moscow RUS,2020.03.08,4.3,"Tomashevsky,E","Esipenko,Andrey",1/2-1/2,2672,C77,2701
1483,6th Nutcracker Rapid,Moscow RUS,2020.03.09,5.3,"Esipenko,Andrey","Tomashevsky,E",1/2-1/2,2701,A28,2672
1484,6th Nutcracker Rapid,Moscow RUS,2020.03.09,6.3,"Tomashevsky,E","Sarana,A",0-1,2652,D73,2701
1485,6th Nutcracker Rapid,Moscow RUS,2020.03.09,7.3,"Lomasov,Semyon","Tomashevsky,E",0-1,2701,B11,2533
