,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
2459,?,?,????.??.??,?,?,?,1/2-1/2,,,
2469,Gibraltar Masters 2020,Caleta ENG,2020.01.21,1.4,"Topalov,V","Sankalp,Gupta",1-0,2400,C11,2738
2470,Gibraltar Masters 2020,Caleta ENG,2020.01.22,2.4,"Barbosa,Ev","Topalov,V",1/2-1/2,2738,C47,2501
2471,Gibraltar Masters 2020,Caleta ENG,2020.01.23,3.19,"Topalov,V","Libiszewski,F",1-0,2522,C11,2738
2472,Gibraltar Masters 2020,Caleta ENG,2020.01.24,4.6,"Santos Latasa,J","Topalov,V",0-1,2738,E14,2586
2473,Gibraltar Masters 2020,Caleta ENG,2020.01.25,5.1,"Topalov,V","Cheparinov,I",1/2-1/2,2686,C50,2738
2474,Gibraltar Masters 2020,Caleta ENG,2020.01.26,6.3,"Praggnanandhaa,R","Topalov,V",1-0,2738,C11,2602
2475,Gibraltar Masters 2020,Caleta ENG,2020.01.27,7.13,"Topalov,V","Kotronias,V",1-0,2526,B51,2738
2476,Gibraltar Masters 2020,Caleta ENG,2020.01.28,8.6,"Antipov,M2","Topalov,V",1/2-1/2,2738,B54,2562
2477,Gibraltar Masters 2020,Caleta ENG,2020.01.29,9.7,"Topalov,V","Basso,Pier Luigi",1-0,2600,C50,2738
2478,Gibraltar Masters 2020,Caleta ENG,2020.01.30,10.4,"Deac,Bogdan-Daniel","Topalov,V",1/2-1/2,2738,D17,2626
2479,11th Hainan Danzhou GM,chess.com INT,2020.12.03,1.3,"Grischuk,A","Topalov,V",1/2-1/2,2735,B52,2777
2480,11th Hainan Danzhou GM,chess.com INT,2020.12.03,2.2,"Topalov,V",Yu Yangyi,1/2-1/2,2709,D11,2735
2481,11th Hainan Danzhou GM,chess.com INT,2020.12.04,3.4,"Giri,A","Topalov,V",1-0,2735,C11,2764
2482,11th Hainan Danzhou GM,chess.com INT,2020.12.04,4.1,Wang Hao,"Topalov,V",1-0,2735,E32,2763
2483,11th Hainan Danzhou GM,chess.com INT,2020.12.05,5.4,"Topalov,V","Rapport,R",1/2-1/2,2759,C67,2735
2484,11th Hainan Danzhou GM,chess.com INT,2020.12.05,6.2,Wei Yi,"Topalov,V",1/2-1/2,2735,B90,2732
2485,11th Hainan Danzhou GM,chess.com INT,2020.12.05,7.3,"Topalov,V",Ding Liren,1/2-1/2,2791,A28,2735
2486,11th Hainan Danzhou GM,chess.com INT,2020.12.07,8.3,"Topalov,V","Grischuk,A",1/2-1/2,2777,D37,2735
2487,11th Hainan Danzhou GM,chess.com INT,2020.12.07,9.2,Yu Yangyi,"Topalov,V",1/2-1/2,2735,D19,2709
2488,11th Hainan Danzhou GM,chess.com INT,2020.12.07,10.4,"Topalov,V","Giri,A",0-1,2764,D38,2735
2489,11th Hainan Danzhou GM,chess.com INT,2020.12.08,11.1,"Topalov,V",Wang Hao,1-0,2763,C44,2735
2490,11th Hainan Danzhou GM,chess.com INT,2020.12.08,12.4,"Rapport,R","Topalov,V",1-0,2735,A04,2759
2491,11th Hainan Danzhou GM,chess.com INT,2020.12.09,13.2,"Topalov,V",Wei Yi,1/2-1/2,2732,B90,2735
2492,11th Hainan Danzhou GM,chess.com INT,2020.12.09,14.3,Ding Liren,"Topalov,V",1/2-1/2,2735,A10,2791
2493,Salamanca Uni Masters,Salamanca ESP,2021.02.03,1.1,"Topalov,V","Paehtz,E",1-0,2467,C00,2735
2494,Salamanca Uni Masters,Salamanca ESP,2021.02.03,2.4,"Topalov,V","Skripchenko,A",1-0,2418,C41,2735
2495,Salamanca Uni Masters,Salamanca ESP,2021.02.04,3.2,"Vega Gutierrez,S","Topalov,V",1/2-1/2,2735,B23,2392
2496,Salamanca Uni Masters,Salamanca ESP,2021.02.04,4.3,"Topalov,V","Shirov,A",1/2-1/2,2662,D12,2735
2497,Salamanca Uni Masters,Salamanca ESP,2021.02.05,5.3,"Iturrizaga,E","Topalov,V",1-0,2735,D17,2607
2498,Salamanca Uni Masters,Salamanca ESP,2021.02.06,6.2,"Topalov,V","Anton Guijarro,D",0-1,2679,B12,2735
2499,Salamanca Uni Masters,Salamanca ESP,2021.02.06,7.4,"Salimova,Nurgyul","Topalov,V",1/2-1/2,2735,A50,2397
2500,TCh-FRA Top 12 2021,Chalons en Champagne FRA,2021.06.25,2.4,"Topalov,V","Bauer,Ch",1/2-1/2,2639,B03,2735
2501,TCh-FRA Top 12 2021,Chalons en Champagne FRA,2021.06.27,4.4,"Cheparinov,I","Topalov,V",0-1,2735,D43,2667
2502,TCh-FRA Top 12 2021,Chalons en Champagne FRA,2021.06.30,7.4,"Oparin,G","Topalov,V",1/2-1/2,2735,D78,2654
2503,TCh-FRA Top 12 2021,Chalons en Champagne FRA,2021.07.03,10.4,"Topalov,V","Vocaturo,D",0-1,2617,D37,2735
2504,12th Hainan Danzhou GM,lichess.org INT,2021.09.23,1.1,"Topalov,V","Rapport,R",1-0,2760,A85,2730
2505,12th Hainan Danzhou GM,lichess.org INT,2021.09.23,2.4,"Topalov,V",Bu Xiangzhi,1-0,2705,D38,2730
2506,12th Hainan Danzhou GM,lichess.org INT,2021.09.24,3.2,"Vitiugov,N","Topalov,V",1/2-1/2,2730,E49,2727
2507,12th Hainan Danzhou GM,lichess.org INT,2021.09.24,4.3,"Topalov,V",Yu Yangyi,1-0,2704,D32,2730
2508,12th Hainan Danzhou GM,lichess.org INT,2021.09.25,5.3,Ding Liren,"Topalov,V",1-0,2730,A35,2799
2509,12th Hainan Danzhou GM,lichess.org INT,2021.09.25,6.2,"Topalov,V",Wei Yi,1-0,2725,D40,2730
2510,12th Hainan Danzhou GM,lichess.org INT,2021.09.25,7.4,"Ju,Wenjun","Topalov,V",1/2-1/2,2730,A53,2560
2511,Anatoly Karpov Trophy,Cap d'Agde FRA,2021.10.29,1.1,"Topalov,V","Sebag,M",1-0,2447,B90,2730
