,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
0,PRO League Group Stage,chess.com INT,2020.01.09,1,"Klekowski,M","Vachier Lagrave,M",0-1,2770,A22,2515
1,PRO League Group Stage,chess.com INT,2020.01.09,1,"Vachier Lagrave,M","Piorun,K",0-1,2611,D38,2770
2,PRO League Group Stage,chess.com INT,2020.01.09,1,"Socko,B","Vachier Lagrave,M",1/2-1/2,2770,E60,2619
3,PRO League Group Stage,chess.com INT,2020.01.09,1,"Vachier Lagrave,M","Bartel,Mat",1-0,2639,A00,2770
4,PRO League Group Stage,chess.com INT,2020.01.15,2,"Vachier Lagrave,M","Narayanan,Sri",1/2-1/2,2535,A28,2770
5,PRO League Group Stage,chess.com INT,2020.01.15,2,"Vachier Lagrave,M","Hauge,Lars Oskar",1-0,2493,A04,2770
6,PRO League Group Stage,chess.com INT,2020.01.15,2,"Niemann,Hans Moke","Vachier Lagrave,M",0-1,2770,D80,2465
7,PRO League Group Stage,chess.com INT,2020.01.15,2,"Hammer,J","Vachier Lagrave,M",0-1,2770,A10,2628
8,Gibraltar Masters 2020,Caleta ENG,2020.01.21,1.2,"Vachier Lagrave,M","Sukandar,I",1-0,2402,B35,2770
9,Gibraltar Masters 2020,Caleta ENG,2020.01.22,2.2,"Flom,Gabriel","Vachier Lagrave,M",1/2-1/2,2770,D85,2510
10,Gibraltar Masters 2020,Caleta ENG,2020.01.23,3.18,"Vachier Lagrave,M","Baron,Ta",1-0,2529,A37,2770
11,Gibraltar Masters 2020,Caleta ENG,2020.01.24,4.4,"Vaibhav,S","Vachier Lagrave,M",1/2-1/2,2770,B92,2593
12,Gibraltar Masters 2020,Caleta ENG,2020.01.25,5.8,"Vachier Lagrave,M","Sanal,V",1/2-1/2,2569,C77,2770
13,Gibraltar Masters 2020,Caleta ENG,2020.01.26,6.9,"Vachier Lagrave,M","Peralta,Fe",1-0,2574,C02,2770
14,Gibraltar Masters 2020,Caleta ENG,2020.01.27,7.4,"Karthikeyan,M2","Vachier Lagrave,M",1/2-1/2,2770,B90,2606
15,Gibraltar Masters 2020,Caleta ENG,2020.01.28,8.5,"Basso,Pier Luigi","Vachier Lagrave,M",1/2-1/2,2770,D92,2600
16,Gibraltar Masters 2020,Caleta ENG,2020.01.29,9.6,"Vachier Lagrave,M","Can,E",1-0,2600,B51,2770
17,Gibraltar Masters 2020,Caleta ENG,2020.01.30,10.3,"Vachier Lagrave,M","Maghsoodloo,Parham",1-0,2674,D38,2770
18,Bundesliga 2019-20,Kiel GER,2020.02.09,6.5,"Svane,R","Vachier Lagrave,M",1/2-1/2,2777,A34,2594
19,PRO League Group Stage,chess.com INT,2020.02.13,6,"Diaz Camallonga,C","Vachier Lagrave,M",0-1,2770,B51,2474
20,PRO League Group Stage,chess.com INT,2020.02.13,6,"Herrera Reyes,J","Vachier Lagrave,M",0-1,2770,A07,2304
21,PRO League Group Stage,chess.com INT,2020.02.13,6,"Vachier Lagrave,M","Forcen Esteban,D",1-0,2548,A17,2770
22,PRO League Group Stage,chess.com INT,2020.02.13,6,"Vachier Lagrave,M","Martinez Reyes,P",1-0,2407,C03,2770
23,PRO League Group Stage,chess.com INT,2020.02.17,7,"Vachier Lagrave,M","Dvirnyy,D",1-0,2485,C01,2770
24,PRO League Group Stage,chess.com INT,2020.02.17,7,"Gilevych,Artem","Vachier Lagrave,M",0-1,2770,A04,2415
25,PRO League Group Stage,chess.com INT,2020.02.17,7,"Vachier Lagrave,M","Valsecchi,A",1-0,2512,C51,2770
26,PRO League Group Stage,chess.com INT,2020.02.17,7,"Brunello,S","Vachier Lagrave,M",1/2-1/2,2770,A50,2536
27,PRO League KO Stage 2020,chess.com INT,2020.03.04,1,"Moranda,W","Vachier Lagrave,M",1/2-1/2,2767,D92,2605
28,PRO League KO Stage 2020,chess.com INT,2020.03.04,1,"Vachier Lagrave,M","Guseinov,G",1-0,2665,B30,2767
29,PRO League KO Stage 2020,chess.com INT,2020.03.04,1,"Vachier Lagrave,M","Fedoseev,Vl3",1/2-1/2,2678,A07,2767
30,PRO League KO Stage TB 2020,chess.com INT,2020.03.04,1.1.6,"Vachier Lagrave,M","Nakamura,Hi",0-1,2736,C53,2767
31,PRO League KO Stage 2020,chess.com INT,2020.03.04,1,"Nakamura,Hi","Vachier Lagrave,M",1/2-1/2,2767,B51,2736
32,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.17,1.1,"Vachier Lagrave,M","Caruana,F",1/2-1/2,2842,C78,2767
33,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.18,2.4,"Vachier Lagrave,M",Ding Liren,1-0,2805,C88,2767
34,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.19,3.2,"Giri,A","Vachier Lagrave,M",1/2-1/2,2767,D85,2763
35,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.21,4.3,"Vachier Lagrave,M","Grischuk,A",1/2-1/2,2777,C67,2767
36,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.22,5.3,"Alekseenko,K","Vachier Lagrave,M",1/2-1/2,2767,B90,2698
37,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.23,6.4,Wang Hao,"Vachier Lagrave,M",1/2-1/2,2767,D87,2762
38,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.25,7.2,"Vachier Lagrave,M","Nepomniachtchi,I",1-0,2774,C19,2767
39,Carlsen Inv Prelim,chess24.com INT,2020.04.19,1.3,"Vachier Lagrave,M","Giri,A",1/2-1/2,2764,B30,2778
40,Carlsen Inv Prelim,chess24.com INT,2020.04.19,1.4,"Giri,A","Vachier Lagrave,M",1/2-1/2,2778,E06,2764
41,Carlsen Inv Prelim,chess24.com INT,2020.04.19,1.1,"Vachier Lagrave,M","Giri,A",1-0,2764,E32,2778
42,Carlsen Inv Prelim,chess24.com INT,2020.04.19,1.2,"Giri,A","Vachier Lagrave,M",0-1,2778,D43,2764
43,Carlsen Inv Prelim,chess24.com INT,2020.04.21,2.5,"Vachier Lagrave,M","Nepomniachtchi,I",0-1,2784,C42,2778
