,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
2436,Chess24 Banter Blitz Cup,chess24.com INT,2020.01.06,1.2,"Vallejo Pons,F","Buksa,N",1-0,2410,D30,2694
2437,Chess24 Banter Blitz Cup,chess24.com INT,2020.01.06,1.1,"Buksa,N","Vallejo Pons,F",0-1,2694,A80,2410
2438,Chess24 Banter Blitz Cup,chess24.com INT,2020.01.06,1.5,"Buksa,N","Vallejo Pons,F",0-1,2694,B41,2410
2439,Chess24 Banter Blitz Cup,chess24.com INT,2020.01.06,1.3,"Buksa,N","Vallejo Pons,F",1/2-1/2,2694,A80,2410
2440,Chess24 Banter Blitz Cup,chess24.com INT,2020.01.06,1.4,"Vallejo Pons,F","Buksa,N",1-0,2410,D02,2694
2441,Chess24 Banter Blitz Cup,chess24.com INT,2020.01.06,1.7,"Buksa,N","Vallejo Pons,F",0-1,2694,A45,2410
2442,Chess24 Banter Blitz Cup,chess24.com INT,2020.01.06,1.6,"Vallejo Pons,F","Buksa,N",0-1,2410,B23,2694
2443,Chess24 Banter Blitz Cup,chess24.com INT,2020.01.06,1.11,"Buksa,N","Vallejo Pons,F",0-1,2694,A80,2410
2444,Chess24 Banter Blitz Cup,chess24.com INT,2020.01.06,1.10,"Vallejo Pons,F","Buksa,N",1-0,2410,B46,2694
2445,Chess24 Banter Blitz Cup,chess24.com INT,2020.01.06,1.8,"Vallejo Pons,F","Buksa,N",1/2-1/2,2410,B33,2694
2446,Chess24 Banter Blitz Cup,chess24.com INT,2020.01.06,1.9,"Buksa,N","Vallejo Pons,F",0-1,2694,A81,2410
2447,Bundesliga 2019-20,Kiel GER,2020.02.08,5.5,"Thybo,Jesper Sondergaard","Vallejo Pons,F",1/2-1/2,2694,A40,2574
2448,Bundesliga 2019-20,Kiel GER,2020.02.09,6.5,"Engel,Luis","Vallejo Pons,F",0-1,2694,C77,2519
2449,Bundesliga 2019-20,Lingen GER,2020.02.23,8.5,"Vallejo Pons,F","Edouard,R",1-0,2635,A04,2694
2450,Chess24 Banter Blitz Cup,chess24.com INT,2020.03.03,2.2,"Shimanov,A","Vallejo Pons,F",1/2-1/2,2694,A40,2587
2451,Chess24 Banter Blitz Cup,chess24.com INT,2020.03.03,2.9,"Shimanov,A","Vallejo Pons,F",1-0,2694,A40,2587
2452,Chess24 Banter Blitz Cup,chess24.com INT,2020.03.03,2.8,"Vallejo Pons,F","Shimanov,A",0-1,2587,B10,2694
2453,Chess24 Banter Blitz Cup,chess24.com INT,2020.03.03,2.7,"Shimanov,A","Vallejo Pons,F",0-1,2694,A13,2587
2454,Chess24 Banter Blitz Cup,chess24.com INT,2020.03.03,2.10,"Vallejo Pons,F","Shimanov,A",1/2-1/2,2587,A48,2694
2455,Chess24 Banter Blitz Cup,chess24.com INT,2020.03.03,2.11,"Shimanov,A","Vallejo Pons,F",1-0,2694,A04,2587
2456,Chess24 Banter Blitz Cup,chess24.com INT,2020.03.03,2.13,"Shimanov,A","Vallejo Pons,F",1-0,2694,A80,2587
2457,Chess24 Banter Blitz Cup,chess24.com INT,2020.03.03,2.12,"Vallejo Pons,F","Shimanov,A",1/2-1/2,2587,B10,2694
2458,Chess24 Banter Blitz Cup,chess24.com INT,2020.03.03,2.1,"Vallejo Pons,F","Shimanov,A",0-1,2587,B01,2694
2459,Chess24 Banter Blitz Cup,chess24.com INT,2020.03.03,2.6,"Shimanov,A","Vallejo Pons,F",1-0,2694,A20,2587
2460,Chess24 Banter Blitz Cup,chess24.com INT,2020.03.03,2.5,"Vallejo Pons,F","Shimanov,A",0-1,2587,B01,2694
2461,Chess24 Banter Blitz Cup,chess24.com INT,2020.03.03,2.4,"Shimanov,A","Vallejo Pons,F",1/2-1/2,2694,A06,2587
2462,Chess24 Banter Blitz Cup,chess24.com INT,2020.03.03,2.3,"Vallejo Pons,F","Shimanov,A",1-0,2587,B01,2694
2463,Iberoamericano Chess24,chess24.com INT,2020.06.01,1.2,"Vasquez Schroeder,R","Vallejo Pons,F",1-0,2710,C17,2441
2464,Iberoamericano Chess24,chess24.com INT,2020.06.01,1.1,"Vallejo Pons,F","Vasquez Schroeder,R",1-0,2441,E32,2710
2465,Iberoamericano Chess24,chess24.com INT,2020.06.01,1.3,"Vallejo Pons,F","Vasquez Schroeder,R",0-1,2441,D47,2710
2466,Iberoamericano Chess24,chess24.com INT,2020.06.01,1.4,"Vasquez Schroeder,R","Vallejo Pons,F",1-0,2710,C16,2441
