,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
0,Gibraltar Masters 2020,Caleta ENG,2020.01.21,1.3,"Percivaldi,Martin",Wang Hao,0-1,2758,D30,2403
1,Gibraltar Masters 2020,Caleta ENG,2020.01.22,2.3,Wang Hao,"Petrov,Martin",1/2-1/2,2504,B90,2758
2,Gibraltar Masters 2020,Caleta ENG,2020.01.23,3.17,"Batsiashvili,N",Wang Hao,0-1,2758,A80,2456
3,Gibraltar Masters 2020,Caleta ENG,2020.01.24,4.5,Wang Hao,"Moussard,J",1-0,2600,B90,2758
4,Gibraltar Masters 2020,Caleta ENG,2020.01.25,5.2,"Durarbayli,V",Wang Hao,0-1,2758,C07,2625
5,Gibraltar Masters 2020,Caleta ENG,2020.01.27,7.1,Wang Hao,"Praggnanandhaa,R",1-0,2602,A28,2758
6,Gibraltar Masters 2020,Caleta ENG,2020.01.28,8.1,"Maghsoodloo,Parham",Wang Hao,1/2-1/2,2758,E06,2674
7,Gibraltar Masters 2020,Caleta ENG,2020.01.29,9.1,Wang Hao,"Paravyan,D",1/2-1/2,2629,B31,2758
8,Gibraltar Masters TB 2020,Caleta ENG,2020.01.30,1.1,"Yuffa,D",Wang Hao,0-1,2758,E06,2566
9,Gibraltar Masters TB 2020,Caleta ENG,2020.01.30,1.2,Wang Hao,"Yuffa,D",1-0,2566,E94,2758
10,Gibraltar Masters TB 2020,Caleta ENG,2020.01.30,2.1,Wang Hao,"Paravyan,D",0-1,2629,C65,2758
11,Gibraltar Masters TB 2020,Caleta ENG,2020.01.30,2.2,"Paravyan,D",Wang Hao,1/2-1/2,2758,B90,2629
12,Gibraltar Masters 2020,Caleta ENG,2020.01.30,10.1,"Esipenko,Andrey",Wang Hao,1/2-1/2,2758,E06,2654
13,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.17,1.2,Ding Liren,Wang Hao,0-1,2762,A20,2805
14,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.18,2.3,Wang Hao,"Giri,A",1/2-1/2,2763,A37,2762
15,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.19,3.3,"Grischuk,A",Wang Hao,1/2-1/2,2762,C42,2777
16,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.21,4.2,Wang Hao,"Alekseenko,K",1/2-1/2,2698,D78,2762
17,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.22,5.4,"Nepomniachtchi,I",Wang Hao,1-0,2762,C42,2774
18,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.23,6.4,Wang Hao,"Vachier Lagrave,M",1/2-1/2,2767,D87,2762
19,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.25,7.1,"Caruana,F",Wang Hao,1/2-1/2,2762,C42,2842
20,FIDE Candidates 2020,Yekaterinburg RUS,2021.04.19,8.2,Wang Hao,Ding Liren,1/2-1/2,2805,C45,2762
21,FIDE Candidates 2020,Yekaterinburg RUS,2021.04.20,9.3,"Giri,A",Wang Hao,1-0,2762,E06,2763
22,FIDE Candidates 2020,Yekaterinburg RUS,2021.04.21,10.3,Wang Hao,"Grischuk,A",1/2-1/2,2777,C11,2762
23,FIDE Candidates 2020,Yekaterinburg RUS,2021.04.23,11.2,"Alekseenko,K",Wang Hao,1/2-1/2,2762,C55,2698
24,FIDE Candidates 2020,Yekaterinburg RUS,2021.04.24,12.4,Wang Hao,"Nepomniachtchi,I",0-1,2774,C42,2762
25,FIDE Candidates 2020,Yekaterinburg RUS,2021.04.26,13.1,Wang Hao,"Caruana,F",0-1,2842,B40,2762
26,FIDE Candidates 2020,Yekaterinburg RUS,2021.04.27,14.4,"Vachier Lagrave,M",Wang Hao,1-0,2762,C67,2767
27,10th Norway Blitz 2022,Stavanger NOR,2022.05.30,1.3,Wang Hao,"So,W",1-0,2776,D20,2744
28,10th Norway Blitz 2022,Stavanger NOR,2022.05.30,2.4,"Topalov,V",Wang Hao,1-0,2744,A20,2730
29,10th Norway Blitz 2022,Stavanger NOR,2022.05.30,3.2,Wang Hao,"Radjabov,T",1-0,2753,E36,2744
30,10th Norway Blitz 2022,Stavanger NOR,2022.05.30,4.5,"Giri,A",Wang Hao,1-0,2744,B31,2761
31,10th Norway Blitz 2022,Stavanger NOR,2022.05.30,5.1,Wang Hao,"Carlsen,M",0-1,2864,D45,2744
32,10th Norway Blitz 2022,Stavanger NOR,2022.05.30,6.5,Wang Hao,"Anand,V",1/2-1/2,2751,C67,2744
33,10th Norway Blitz 2022,Stavanger NOR,2022.05.30,7.2,"Mamedyarov,S",Wang Hao,1/2-1/2,2744,D37,2759
34,10th Norway Blitz 2022,Stavanger NOR,2022.05.30,8.4,Wang Hao,"Vachier Lagrave,M",0-1,2750,D97,2744
35,10th Norway Blitz 2022,Stavanger NOR,2022.05.30,9.3,"Tari,A",Wang Hao,1-0,2744,B23,2654
36,10th Norway Chess 2022,Stavanger NOR,2022.05.31,1.1,"Carlsen,M",Wang Hao,1/2-1/2,2744,A07,2864
37,10th Norway Armageddon,Stavanger NOR,2022.05.31,1.1,"Carlsen,M",Wang Hao,1-0,2744,E06,2864
38,10th Norway Armageddon,Stavanger NOR,2022.06.01,2.3,Wang Hao,"Giri,A",1/2-1/2,2761,B90,2744
39,10th Norway Chess 2022,Stavanger NOR,2022.06.01,2.3,Wang Hao,"Giri,A",1/2-1/2,2761,B90,2744
40,10th Norway Armageddon,Stavanger NOR,2022.06.02,3.3,"Anand,V",Wang Hao,1-0,2744,B31,2751
41,10th Norway Chess 2022,Stavanger NOR,2022.06.02,3.3,"Anand,V",Wang Hao,1/2-1/2,2744,B33,2751
42,10th Norway Chess 2022,Stavanger NOR,2022.06.03,4.5,Wang Hao,"Mamedyarov,S",0-1,2759,C83,2744
