,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
0,ch-CHN 2020,Xinghua CHN,2020.12.19,1.3,Wei Yi,Ju Wenjun,1/2-1/2,2560,A09,2732
1,ch-CHN 2020,Xinghua CHN,2020.12.20,2.5,"Huang,Renjie",Wei Yi,0-1,2732,B31,2422
2,ch-CHN 2020,Xinghua CHN,2020.12.21,3.2,Wei Yi,"Lin,Yi",1-0,2408,A15,2732
3,ch-CHN 2020,Xinghua CHN,2020.12.22,4.6,"Bai,Jinshi",Wei Yi,1/2-1/2,2732,D45,2618
4,ch-CHN 2020,Xinghua CHN,2020.12.23,5.1,Wei Yi,"Xu,Xiangyu",1-0,2573,D85,2732
5,ch-CHN 2020,Xinghua CHN,2020.12.24,6.6,Wei Yi,Lu Shanglei,1/2-1/2,2615,B90,2732
6,ch-CHN 2020,Xinghua CHN,2020.12.25,7.2,"Xu,Yinglun",Wei Yi,1/2-1/2,2732,A18,2554
7,ch-CHN 2020,Xinghua CHN,2020.12.27,8.5,Wei Yi,Zhao Jun,1-0,2638,B10,2732
8,ch-CHN 2020,Xinghua CHN,2020.12.28,9.3,Yu Yangyi,Wei Yi,1-0,2732,D85,2709
9,ch-CHN 2020,Xinghua CHN,2020.12.29,10.4,Wei Yi,Wen Yang,1-0,2594,C60,2732
10,ch-CHN 2020,Xinghua CHN,2020.12.30,11.4,"Zhang,Rui",Wei Yi,0-1,2732,B04,1658
11,ch-CHN 2021,Xinghua CHN,2021.05.07,1.4,"Xu,Yi",Wei Yi,1/2-1/2,2732,B94,2527
12,ch-CHN 2021,Xinghua CHN,2021.05.08,2.3,Wei Yi,"Xu,Yinglun",1/2-1/2,2554,C11,2732
13,ch-CHN 2021,Xinghua CHN,2021.05.09,3.5,"Xu,Xiangyu",Wei Yi,1/2-1/2,2732,D02,2573
14,ch-CHN 2021,Xinghua CHN,2021.05.09,4.2,Wei Yi,"Liu,Yan",1/2-1/2,2524,E16,2732
15,ch-CHN 2021,Xinghua CHN,2021.05.10,5.6,"Bai,Jinshi",Wei Yi,1/2-1/2,2732,E21,2618
16,ch-CHN 2021,Xinghua CHN,2021.05.11,6.1,Lu Shanglei,Wei Yi,1/2-1/2,2732,C78,2615
17,ch-CHN 2021,Xinghua CHN,2021.05.12,7.6,Wei Yi,Ju Wenjun,1-0,2560,D36,2732
18,ch-CHN 2021,Xinghua CHN,2021.05.12,8.2,"Li,Di",Wei Yi,0-1,2732,D43,2561
19,ch-CHN 2021,Xinghua CHN,2021.05.13,9.5,Wei Yi,Zhao Jun,1-0,2638,A15,2732
20,ch-CHN 2021,Xinghua CHN,2021.05.14,10.3,Yu Yangyi,Wei Yi,1-0,2732,A18,2709
21,ch-CHN 2021,Xinghua CHN,2021.05.15,11.4,Wei Yi,"Xu,Zhihang",1-0,2506,A09,2732
22,China HangZhou GM Match,Hangzhou CHN,2022.04.05,1.1,Wei Yi,Ding Liren,1/2-1/2,2799,D45,2729
23,China HangZhou GM Match,Hangzhou CHN,2022.04.06,2.1,Ding Liren,Wei Yi,1/2-1/2,2729,E06,2799
24,China HangZhou GM Match,Hangzhou CHN,2022.04.07,3.1,Wei Yi,Ding Liren,1/2-1/2,2799,D37,2729
25,China HangZhou GM Match,Hangzhou CHN,2022.04.08,4.1,Ding Liren,Wei Yi,1/2-1/2,2729,E06,2799
26,China HangZhou GM Match,Hangzhou CHN,2022.04.09,5.1,Wei Yi,Ding Liren,1/2-1/2,2799,E15,2729
27,China HangZhou GM Match,Hangzhou CHN,2022.04.10,6.1,Ding Liren,Wei Yi,1-0,2729,E06,2799
28,CHN Team Asian Games Q2,Hangzhou CHN,2022.04.14,1.3,Wei Yi,Zhang Zhong,1/2-1/2,2640,A29,2729
29,CHN Team Asian Games Q2,Hangzhou CHN,2022.04.15,2.2,Bu Xiangzhi,Wei Yi,1/2-1/2,2729,D38,2708
30,CHN Team Asian Games Q2,Hangzhou CHN,2022.04.16,3.1,Wei Yi,Ding Liren,1/2-1/2,2799,C48,2729
31,CHN Team Asian Games Q2,Hangzhou CHN,2022.04.17,4.3,Wei Yi,Ma Qun,1/2-1/2,2645,E21,2729
32,CHN Team Asian Games Q2,Hangzhou CHN,2022.04.18,5.3,"Xu,Xiangyu",Wei Yi,1/2-1/2,2729,D38,2564
33,CHN Team Asian Games Q2,Hangzhou CHN,2022.04.20,6.2,Zhang Zhong,Wei Yi,0-1,2729,B51,2640
34,CHN Team Asian Games Q2,Hangzhou CHN,2022.04.21,7.2,Wei Yi,Bu Xiangzhi,1/2-1/2,2708,C53,2729
35,CHN Team Asian Games Q2,Hangzhou CHN,2022.04.22,8.1,Ding Liren,Wei Yi,1/2-1/2,2729,D41,2799
36,CHN Team Asian Games Q2,Hangzhou CHN,2022.04.23,9.3,Wei Yi,"Xu,Xiangyu",1/2-1/2,2564,D38,2729
37,CHN Team Asian Games Q2,Hangzhou CHN,2022.04.24,10.2,Ma Qun,Wei Yi,1/2-1/2,2729,C45,2645
