,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
1580,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.11,1.3,"Van Foreest,Jorden",Yu Yangyi,1-0,2726,B40,2644
1581,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.12,2.1,Yu Yangyi,"Carlsen,M",1/2-1/2,2872,B90,2726
1582,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.13,3.7,"Caruana,F",Yu Yangyi,1-0,2726,C43,2822
1583,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.14,4.2,Yu Yangyi,"Anand,V",1/2-1/2,2758,D38,2726
1584,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.16,5.4,"Vitiugov,N",Yu Yangyi,1/2-1/2,2726,D02,2747
1585,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.17,6.5,Yu Yangyi,"Firouzja,Alireza",1/2-1/2,2723,B90,2726
1586,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.18,7.7,"Kovalev,Vl",Yu Yangyi,1/2-1/2,2726,C84,2660
1587,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.19,8.3,Yu Yangyi,"Duda,J",0-1,2758,B35,2726
1588,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.21,9.2,"Artemiev,V",Yu Yangyi,1/2-1/2,2726,D77,2731
1589,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.22,10.7,Yu Yangyi,"So,W",1/2-1/2,2765,C47,2726
1590,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.24,11.2,"Giri,A",Yu Yangyi,1/2-1/2,2726,C42,2768
1591,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.25,12.6,"Dubov,Daniil",Yu Yangyi,1-0,2726,D43,2683
1592,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.26,13.7,Yu Yangyi,"Xiong,Jeffery",1/2-1/2,2712,A57,2726
1593,PRO League Group Stage,chess.com INT,2020.02.12,6,Yu Yangyi,"Solak,D",1/2-1/2,2594,A06,2709
1594,PRO League Group Stage,chess.com INT,2020.02.12,6,Yu Yangyi,"Can,E",1/2-1/2,2600,B78,2709
1595,PRO League Group Stage,chess.com INT,2020.02.12,6,"Dastan,B",Yu Yangyi,1/2-1/2,2709,D00,2572
1596,PRO League Group Stage,chess.com INT,2020.02.12,6,"Yilmaz,M",Yu Yangyi,1-0,2709,D45,2607
1597,PRO League KO Stage 2020,chess.com INT,2020.03.05,1,Yu Yangyi,"Abdusattorov,Nodirbek",1-0,2627,E48,2709
1598,PRO League KO Stage 2020,chess.com INT,2020.03.05,1,"Naroditsky,D",Yu Yangyi,1/2-1/2,2709,C42,2621
1599,PRO League KO Stage 2020,chess.com INT,2020.03.05,1,Yu Yangyi,"Oparin,G",1-0,2652,D31,2709
1600,PRO League KO Stage 2020,chess.com INT,2020.03.05,1,"Swiercz,D",Yu Yangyi,1/2-1/2,2709,D02,2649
1601,PRO League KO Stage 2020,chess.com INT,2020.03.09,2,"Tomczak,J",Yu Yangyi,1/2-1/2,2709,C42,2605
1602,PRO League KO Stage 2020,chess.com INT,2020.03.09,2,Yu Yangyi,"Mons,L",1-0,2543,A45,2709
1603,PRO League KO Stage 2020,chess.com INT,2020.03.09,2,Yu Yangyi,"Korobov,A",1-0,2688,D45,2709
1604,PRO League KO Stage 2020,chess.com INT,2020.03.09,2,"Braun,A",Yu Yangyi,0-1,2709,D45,2609
1605,Online Nations Cup Prelim,chess.com INT,2020.05.05,1.2,Yu Yangyi,"Amin,B",1-0,2686,E92,2709
1606,Online Nations Cup Prelim,chess.com INT,2020.05.05,2.3,"Giri,A",Yu Yangyi,0-1,2709,C42,2764
1607,Online Nations Cup Prelim,chess.com INT,2020.05.06,3.1,Yu Yangyi,"Karjakin,Sergey",1/2-1/2,2752,C47,2709
1608,Online Nations Cup Prelim,chess.com INT,2020.05.06,4.3,Yu Yangyi,"Harikrishna,P",1/2-1/2,2719,D36,2709
1609,Online Nations Cup Prelim,chess.com INT,2020.05.07,5.2,"Dominguez Perez,L",Yu Yangyi,0-1,2709,C43,2758
1610,Online Nations Cup Prelim,chess.com INT,2020.05.07,6.2,"Amin,B",Yu Yangyi,1/2-1/2,2709,A07,2686
1611,Online Nations Cup Prelim,chess.com INT,2020.05.08,7.3,Yu Yangyi,"Duda,J",1-0,2753,E46,2709
1612,Online Nations Cup Prelim,chess.com INT,2020.05.09,9.3,"Adhiban,Baskaran",Yu Yangyi,0-1,2709,A32,2659
1613,Online Nations Cup Prelim,chess.com INT,2020.05.09,10.2,Yu Yangyi,"So,W",0-1,2770,C67,2709
1614,Online Nations Cup Final,chess.com INT,2020.05.10,1.3,Yu Yangyi,"So,W",1-0,2770,D38,2709
1615,Lindores Abbey Prelim,chess24.com INT,2020.05.19,1.5,Yu Yangyi,"So,W",0-1,2770,D35,2709
1616,Lindores Abbey Prelim,chess24.com INT,2020.05.19,2.3,"Karjakin,Sergey",Yu Yangyi,1-0,2709,D02,2752
1617,Lindores Abbey Prelim,chess24.com INT,2020.05.19,3.4,Yu Yangyi,"Dubov,Daniil",1-0,2699,D35,2709
1618,Lindores Abbey Prelim,chess24.com INT,2020.05.19,4.4,"Firouzja,Alireza",Yu Yangyi,1/2-1/2,2709,C42,2728
1619,Lindores Abbey Prelim,chess24.com INT,2020.05.20,5.3,Yu Yangyi,"Carlsen,M",1-0,2863,D45,2709
1620,Lindores Abbey Prelim,chess24.com INT,2020.05.20,6.5,"Aronian,L",Yu Yangyi,1-0,2709,A30,2773
1621,Lindores Abbey Prelim,chess24.com INT,2020.05.20,7.2,Yu Yangyi,Ding Liren,1-0,2791,D97,2709
1622,Lindores Abbey Prelim,chess24.com INT,2020.05.20,8.6,"Nakamura,Hi",Yu Yangyi,1/2-1/2,2709,C42,2736
1623,Lindores Abbey Prelim,chess24.com INT,2020.05.21,9.1,Yu Yangyi,"Grischuk,A",1/2-1/2,2777,D36,2709
1624,Lindores Abbey Prelim,chess24.com INT,2020.05.21,10.6,Yu Yangyi,Wei Yi,1-0,2732,D97,2709
1625,Lindores Abbey Prelim,chess24.com INT,2020.05.21,11.2,"Duda,J",Yu Yangyi,1/2-1/2,2709,C42,2753
1626,Lindores Abbey Final 8,chess24.com INT,2020.05.23,1.11,Yu Yangyi,Ding Liren,1/2-1/2,2791,E46,2709
1627,Lindores Abbey Final 8,chess24.com INT,2020.05.23,1.13,Yu Yangyi,Ding Liren,1/2-1/2,2791,E46,2709
1628,Lindores Abbey Final 8,chess24.com INT,2020.05.23,1.14,Ding Liren,Yu Yangyi,1/2-1/2,2709,D27,2791
1629,Lindores Abbey Final 8,chess24.com INT,2020.05.23,1.12,Ding Liren,Yu Yangyi,1/2-1/2,2709,A20,2791
1630,Lindores Abbey Final 8,chess24.com INT,2020.05.23,1.15,Yu Yangyi,Ding Liren,1-0,2791,C58,2709
1631,Lindores Abbey Final 8,chess24.com INT,2020.05.25,1.23,Ding Liren,Yu Yangyi,1/2-1/2,2709,D27,2791
1632,Lindores Abbey Final 8,chess24.com INT,2020.05.25,1.24,Yu Yangyi,Ding Liren,1/2-1/2,2791,C58,2709
1633,Lindores Abbey Final 8,chess24.com INT,2020.05.25,1.21,Ding Liren,Yu Yangyi,1-0,2709,D27,2791
1634,Lindores Abbey Final 8,chess24.com INT,2020.05.25,1.22,Yu Yangyi,Ding Liren,1/2-1/2,2791,E46,2709
1635,Lindores Abbey Final 8,chess24.com INT,2020.05.27,1.35,Yu Yangyi,Ding Liren,1/2-1/2,2791,A45,2709
1636,Lindores Abbey Final 8,chess24.com INT,2020.05.27,1.34,Ding Liren,Yu Yangyi,1/2-1/2,2709,D20,2791
