,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
945,?,?,????.??.??,?,?,?,1/2-1/2,,,
1322,PRO League Group Stage,chess.com INT,2020.02.17,7,"Nestorovic,N",Ding Liren,0-1,2805,C02,2466
1323,PRO League Group Stage,chess.com INT,2020.02.17,7,Ding Liren,"Plenca,Jadranko",1-0,2463,C50,2805
1324,PRO League Group Stage,chess.com INT,2020.02.17,7,"Tica,Sven",Ding Liren,0-1,2805,A48,2398
1325,PRO League Group Stage,chess.com INT,2020.02.17,7,Ding Liren,Le Tuan Minh,1/2-1/2,2501,B29,2805
1326,PRO League KO Stage 2020,chess.com INT,2020.03.09,2,"Korobov,A",Ding Liren,1-0,2805,D86,2688
1327,PRO League KO Stage 2020,chess.com INT,2020.03.09,2,Ding Liren,"Tomczak,J",1-0,2605,D85,2805
1328,PRO League KO Stage 2020,chess.com INT,2020.03.09,2,Ding Liren,"Braun,A",1-0,2609,E15,2805
1329,PRO League KO Stage 2020,chess.com INT,2020.03.09,2,"Mons,L",Ding Liren,1/2-1/2,2805,A13,2543
1330,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.17,1.2,Ding Liren,Wang Hao,0-1,2762,A20,2805
1331,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.18,2.4,"Vachier Lagrave,M",Ding Liren,1-0,2805,C88,2767
1332,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.19,3.1,Ding Liren,"Caruana,F",1-0,2842,D17,2805
1333,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.21,4.4,Ding Liren,"Giri,A",1/2-1/2,2763,E00,2805
1334,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.22,5.2,"Grischuk,A",Ding Liren,1/2-1/2,2805,C88,2777
1335,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.23,6.3,"Nepomniachtchi,I",Ding Liren,1-0,2805,C84,2774
1336,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.25,7.3,Ding Liren,"Alekseenko,K",1/2-1/2,2698,E00,2805
1337,Carlsen Inv Prelim,chess24.com INT,2020.04.18,1.2,"Firouzja,Alireza",Ding Liren,0-1,2791,B90,2728
1338,Carlsen Inv Prelim,chess24.com INT,2020.04.18,1.1,Ding Liren,"Firouzja,Alireza",1/2-1/2,2728,E51,2791
1339,Carlsen Inv Prelim,chess24.com INT,2020.04.18,1.3,Ding Liren,"Firouzja,Alireza",1/2-1/2,2728,A07,2791
1340,Carlsen Inv Prelim,chess24.com INT,2020.04.18,1.4,"Firouzja,Alireza",Ding Liren,1/2-1/2,2791,C65,2728
1341,Carlsen Inv Prelim,chess24.com INT,2020.04.21,2.3,Ding Liren,"Caruana,F",1-0,2835,D73,2791
1342,Carlsen Inv Prelim,chess24.com INT,2020.04.21,2.5,Ding Liren,"Caruana,F",0-1,2835,A07,2791
1343,Carlsen Inv Prelim,chess24.com INT,2020.04.21,2.1,Ding Liren,"Caruana,F",1/2-1/2,2835,A07,2791
1344,Carlsen Inv Prelim,chess24.com INT,2020.04.21,2.2,"Caruana,F",Ding Liren,1/2-1/2,2791,B90,2835
1345,Carlsen Inv Prelim,chess24.com INT,2020.04.21,2.4,"Caruana,F",Ding Liren,1-0,2791,C65,2835
1346,Carlsen Inv Prelim,chess24.com INT,2020.04.23,3.2,Ding Liren,"Vachier Lagrave,M",1/2-1/2,2778,D12,2791
1347,Carlsen Inv Prelim,chess24.com INT,2020.04.23,3.1,"Vachier Lagrave,M",Ding Liren,1/2-1/2,2791,E35,2778
1348,Carlsen Inv Prelim,chess24.com INT,2020.04.23,3.3,"Vachier Lagrave,M",Ding Liren,1/2-1/2,2791,E35,2778
1349,Carlsen Inv Prelim,chess24.com INT,2020.04.23,3.5,Ding Liren,"Vachier Lagrave,M",1-0,2778,D15,2791
1350,Carlsen Inv Prelim,chess24.com INT,2020.04.23,3.4,Ding Liren,"Vachier Lagrave,M",1/2-1/2,2778,D14,2791
1351,Carlsen Inv Prelim,chess24.com INT,2020.04.25,4.5,"Giri,A",Ding Liren,1/2-1/2,2791,C65,2764
1352,Carlsen Inv Prelim,chess24.com INT,2020.04.25,4.3,Ding Liren,"Giri,A",0-1,2764,E60,2791
1353,Carlsen Inv Prelim,chess24.com INT,2020.04.25,4.2,"Giri,A",Ding Liren,0-1,2791,D86,2764
1354,Carlsen Inv Prelim,chess24.com INT,2020.04.25,4.1,Ding Liren,"Giri,A",1/2-1/2,2764,A35,2791
1355,Carlsen Inv Prelim,chess24.com INT,2020.04.25,4.4,"Giri,A",Ding Liren,1/2-1/2,2791,D41,2764
1356,Carlsen Inv Prelim,chess24.com INT,2020.04.27,5.4,Ding Liren,"Nepomniachtchi,I",1-0,2784,A05,2791
1357,Carlsen Inv Prelim,chess24.com INT,2020.04.27,5.3,"Nepomniachtchi,I",Ding Liren,1-0,2791,C65,2784
1358,Carlsen Inv Prelim,chess24.com INT,2020.04.27,5.2,Ding Liren,"Nepomniachtchi,I",1-0,2784,D70,2791
1359,Carlsen Inv Prelim,chess24.com INT,2020.04.27,5.1,"Nepomniachtchi,I",Ding Liren,1/2-1/2,2791,C65,2784
1360,Carlsen Inv Prelim,chess24.com INT,2020.04.29,6.4,Ding Liren,"Nakamura,Hi",1/2-1/2,2736,E06,2791
1361,Carlsen Inv Prelim,chess24.com INT,2020.04.29,6.2,Ding Liren,"Nakamura,Hi",1/2-1/2,2736,E06,2791
1362,Carlsen Inv Prelim,chess24.com INT,2020.04.29,6.5,Ding Liren,"Nakamura,Hi",0-1,2736,A29,2791
1363,Carlsen Inv Prelim,chess24.com INT,2020.04.29,6.3,"Nakamura,Hi",Ding Liren,1/2-1/2,2791,C65,2736
1364,Carlsen Inv Prelim,chess24.com INT,2020.04.29,6.1,"Nakamura,Hi",Ding Liren,1/2-1/2,2791,C65,2736
1365,Carlsen Inv Prelim,chess24.com INT,2020.04.30,7.3,Ding Liren,"Carlsen,M",1-0,2863,B30,2791
1366,Carlsen Inv Prelim,chess24.com INT,2020.04.30,7.1,Ding Liren,"Carlsen,M",1-0,2863,B00,2791
1367,Carlsen Inv Prelim,chess24.com INT,2020.04.30,7.4,"Carlsen,M",Ding Liren,0-1,2791,C34,2863
1368,Carlsen Inv Prelim,chess24.com INT,2020.04.30,7.2,"Carlsen,M",Ding Liren,1-0,2791,B21,2863
1369,Carlsen Inv Final 4,chess24.com INT,2020.05.02,1.3,"Carlsen,M",Ding Liren,1-0,2791,D02,2863
1370,Carlsen Inv Final 4,chess24.com INT,2020.05.02,1.2,Ding Liren,"Carlsen,M",1-0,2863,C50,2791
1371,Carlsen Inv Final 4,chess24.com INT,2020.05.02,1.4,Ding Liren,"Carlsen,M",0-1,2863,D45,2791
1372,Carlsen Inv Final 4,chess24.com INT,2020.05.02,1.1,"Carlsen,M",Ding Liren,1/2-1/2,2791,D02,2863
1373,Online Nations Cup Prelim,chess.com INT,2020.05.05,2.3,"Vachier Lagrave,M",Ding Liren,1/2-1/2,2791,E32,2778
1374,Online Nations Cup Prelim,chess.com INT,2020.05.06,3.1,Ding Liren,"Nepomniachtchi,I",1-0,2784,D85,2791
1375,Online Nations Cup Prelim,chess.com INT,2020.05.06,4.3,Ding Liren,"Anand,V",1/2-1/2,2753,D35,2791
1376,Online Nations Cup Prelim,chess.com INT,2020.05.07,5.2,"Nakamura,Hi",Ding Liren,1/2-1/2,2791,B22,2736
1377,Online Nations Cup Prelim,chess.com INT,2020.05.07,6.2,"Radjabov,T",Ding Liren,0-1,2791,A05,2765
1378,Online Nations Cup Prelim,chess.com INT,2020.05.08,7.3,Ding Liren,"Vachier Lagrave,M",1/2-1/2,2778,A06,2791
1379,Online Nations Cup Prelim,chess.com INT,2020.05.08,8.1,"Nepomniachtchi,I",Ding Liren,1/2-1/2,2791,D45,2784
1380,Online Nations Cup Prelim,chess.com INT,2020.05.09,10.2,Ding Liren,"Nakamura,Hi",1-0,2736,C50,2791
1381,Online Nations Cup Final,chess.com INT,2020.05.10,1.1,Ding Liren,"Nakamura,Hi",1/2-1/2,2736,C53,2791
1382,Lindores Abbey Prelim,chess24.com INT,2020.05.19,1.3,Ding Liren,"Dubov,Daniil",1-0,2699,B31,2791
1383,Lindores Abbey Prelim,chess24.com INT,2020.05.19,2.5,"Firouzja,Alireza",Ding Liren,1/2-1/2,2791,C65,2728
1384,Lindores Abbey Prelim,chess24.com INT,2020.05.19,3.2,Ding Liren,"Carlsen,M",1/2-1/2,2863,E01,2791
1385,Lindores Abbey Prelim,chess24.com INT,2020.05.19,4.6,"Aronian,L",Ding Liren,1/2-1/2,2791,B50,2773
1386,Lindores Abbey Prelim,chess24.com INT,2020.05.20,5.1,Ding Liren,"Grischuk,A",0-1,2777,E02,2791
1387,Lindores Abbey Prelim,chess24.com INT,2020.05.20,6.6,Ding Liren,"Nakamura,Hi",1/2-1/2,2736,E06,2791
1388,Lindores Abbey Prelim,chess24.com INT,2020.05.20,7.2,Yu Yangyi,Ding Liren,1-0,2791,D97,2709
1389,Lindores Abbey Prelim,chess24.com INT,2020.05.20,8.5,Ding Liren,Wei Yi,1-0,2732,E60,2791
1390,Lindores Abbey Prelim,chess24.com INT,2020.05.21,9.3,"Duda,J",Ding Liren,0-1,2791,A22,2753
1391,Lindores Abbey Prelim,chess24.com INT,2020.05.21,10.4,Ding Liren,"So,W",1/2-1/2,2770,C67,2791
1392,Lindores Abbey Prelim,chess24.com INT,2020.05.21,11.4,"Karjakin,Sergey",Ding Liren,1/2-1/2,2791,C67,2752
1393,Lindores Abbey Final 8,chess24.com INT,2020.05.23,1.11,Yu Yangyi,Ding Liren,1/2-1/2,2791,E46,2709
