,Std_CP
0,31.013463538194515
1,47.756438967829126
2,29.233751810158726
3,35.675742365602666
4,11.274180362986167
5,40.10411054417842
6,10.879206903866791
7,15.198798778869254
8,17.159401808412063
9,22.429099761894864
10,42.51076221201113
11,26.25243752855106
12,16.835679638580732
13,25.644114936200086
14,60.67737554013872
15,22.890172563788152
16,25.800475260552247
17,13.892574579501982
18,59.07420562837679
19,39.39534169669495
20,53.127456350457926
21,21.544129013480564
22,18.53492386760134
23,75.22267658481061
24,26.659506080866226
25,15.661923040716722
26,39.480488833708996
27,16.106969789704443
28,114.8679221059119
29,23.700589628065135
30,18.130764739004853
31,105.41936794182985
32,59.80796934588996
33,51.20923593209392
34,15.185181710791069
35,33.93816492477957
36,93.84426970177758
37,30.075921248750458
38,17.06477224028798
39,52.770659769113486
40,60.073145573681735
41,52.4594926333351
42,35.1304232057541
43,51.66512386663356
44,41.16665133112216
45,49.29100935874212
46,111.62694932020828
47,67.75778117157108
48,12.279503528097203
49,13.383504093404751
50,12.074054650320443
51,33.51140839704626
52,30.537841379140744
53,60.51762932110458
54,71.61206307347773
55,16.45879564315046
56,18.56641864513027
57,13.81439243773121
58,22.874136539965384
59,81.46951701949527
60,37.387134812156525
61,14.382146453785715
62,36.46833705892192
63,55.60798611980793
