,Std_CP
0,47.6158873410202
1,33.97668173852156
2,36.81674342135445
3,22.755195459012608
4,32.48368290653653
5,20.17397342564616
6,46.52696456220359
7,54.29416381555348
8,53.6401070444853
9,52.34632194069432
10,12.805932968429872
11,65.07712545944632
12,30.222044127085653
13,54.77749014488914
14,31.20377123628674
15,28.85385089617088
16,24.289164881802577
17,41.36591116700251
18,39.68680578216757
19,50.89333830726739
20,22.47661372810726
21,54.55618475192332
22,74.12680195692771
23,17.951541430229728
24,37.89081292617304
25,12.625664632303815
26,18.42707635131365
27,61.41358356872889
28,88.1700945546192
29,45.77601006687998
30,19.388570516329118
31,38.78641629114086
32,9.849910612023683
33,45.88970183275892
34,20.76840616463255
35,44.73440892009751
36,99.8696032717546
37,69.91618792049044
38,13.985546474989162
39,38.896143538591176
40,17.566304473454927
41,52.86649599122625
42,31.12359926763851
43,19.881095820263347
44,22.55988503291656
45,19.936327215842514
46,18.806660420991182
47,15.562130129898481
48,51.68945383898708
49,12.059470553864532
50,15.598412019059502
51,47.109687847359275
52,53.87821023810589
53,32.505928453366536
54,34.37133295552686
55,58.80629046266903
56,8.239520974082957
57,14.33323196147814
58,12.72242115322394
59,20.05572069941914
60,13.848470740264855
61,75.5583689920298
62,11.35942715834974
63,32.68150977358728
64,23.011027555556087
