,Std_CP
0,127.21570233518707
1,30.80885054283742
2,23.00304327692316
3,26.138883382612118
4,22.403851001168075
5,42.80975061215316
6,16.585583467197306
7,33.56024120577488
8,26.79503651612463
9,40.05879607348608
10,60.85254610244143
11,25.070748871535365
12,8.78059511506553
13,42.39403903209207
14,20.061846465762297
15,17.485489611068246
16,14.66757718618929
17,18.799510706065103
18,15.904246183729958
19,10.19301530341291
20,14.182871576441995
21,64.13127206674606
22,30.57613448426731
23,23.006337876584848
24,21.298678276121738
25,28.26527215075237
26,70.66895024761956
27,184.40781936340045
28,141.78841085735272
29,32.58733589736893
30,94.18775454108142
31,36.4195360856732
32,13.832719528518458
33,12.790058075927005
34,79.23243335038786
35,68.57125247993265
36,17.07444625678518
37,62.01910602544285
38,42.9344841992346
39,18.685282576033913
40,75.24638746235665
41,8.07398223859758
42,53.811408030756255
43,99.3506693325654
44,127.19452547899992
45,12.982589073355864
46,50.2593121400415
47,50.39972793336861
48,45.503743924820256
49,29.349652747555915
50,9.60502005497179
51,94.4011132108017
52,65.0153973604668
53,22.397233952202164
54,17.521655268876415
55,19.313680487370966
56,11.735066446841472
