,Std_CP
0,47.85224067338406
1,36.79788151625151
2,21.81222086260419
3,14.54595460331282
4,92.85705025535681
5,17.78215758014556
6,30.757513399848694
7,65.50150683429865
8,60.659113484953664
9,61.28925769858612
10,15.31527263086021
11,14.52407024909996
12,44.27961979358042
13,19.91145080138243
14,24.242114562773583
15,11.630718745560154
16,15.2209492045007
17,55.81108166088698
18,24.792578551242148
19,41.960148033443666
20,53.036715337196966
21,28.26271007495178
22,16.62382589242282
23,10.720188239832167
24,9.683418288166104
25,10.955710210063813
26,24.657656011875904
27,45.79193400056603
28,29.29680320081925
29,7.6866805235591995
30,12.874441018043997
31,81.22772991869286
32,7.648177799705887
33,37.0065953410525
34,12.13862581016236
35,18.17668614439715
36,9.037848717887206
37,8.72761504466232
