,Std_CP
0,
1,3.110750339832449
2,51.43860873122496
3,37.47908804294868
4,43.12016357113153
5,103.16397950189138
6,43.36571901381996
7,68.63700012948286
8,20.230198039030974
9,23.187623272251795
10,35.48323074165523
11,27.313848974669458
12,46.159916504884315
13,44.70891901638338
14,18.67778490942668
15,21.473147396534593
16,21.155437895551877
17,59.97441025185217
18,
19,79.31577553086154
20,13.256724359386098
21,28.660755882197666
22,20.856425297506668
23,20.72127438458388
24,68.64049983358511
25,22.70804669308623
26,25.785060364076998
27,53.18744424534906
28,74.5799347456584
29,28.93695939534109
30,19.326540081327323
31,27.963677546144783
32,10.863674042701948
33,25.97876392100649
34,14.161970325797599
35,11.070835821973944
36,45.34752611187493
37,79.25671716840192
38,48.451625359733804
39,24.32914036103765
40,58.14732034320445
41,17.363443710542484
42,13.56638586347983
43,32.89978740654735
44,34.18147100949522
45,18.384776310850235
46,22.750067942708423
47,15.72948399238407
48,13.401361543815993
49,82.15612117641174
50,52.69349664231879
51,27.271395861929484
52,14.820664655822156
53,13.650002954034894
54,41.57454374670918
55,42.606265339194486
56,20.34609023813033
57,10.874677957974441
58,36.93037928276052
59,94.15137998426351
60,21.40988039955862
61,31.66636895128525
62,54.245326771337275
63,50.11323494981689
64,26.3141333401915
65,106.08867905261735
66,50.45486934459062
67,37.95468109253801
68,31.55539922642371
69,16.259089248579617
70,71.17157236250021
71,17.092025042232322
72,34.37400470893805
73,49.92594515880496
74,56.518176698551464
75,30.67692910954153
76,20.043891232931188
77,36.17749266615579
78,55.622237759131316
79,41.67940535474879
80,87.47073460172096
81,54.2378368735143
82,23.32732348907652
83,59.35409919212902
84,53.787456494897356
85,25.277809276991775
86,68.14291316424068
87,39.969365394862436
88,35.705659960653385
89,52.285046291347314
90,38.861057862361626
91,32.44965253858179
92,49.805222553336854
93,21.022189049488457
94,31.247133201836824
95,33.58316174279466
96,20.009129739657435
97,28.890156265279323
98,18.778566279005876
99,100.34341403379554
100,28.582328368232968
101,29.09193324119497
102,58.00176575689635
103,39.54628720763597
104,12.654050734843764
105,26.39031026820734
106,175.79303889150844
107,25.121514209746124
108,43.596389314831136
109,39.63690882325212
110,18.219645045583203
111,30.857741408163825
112,30.579638416997113
113,68.24982091528364
114,38.62770108070298
115,50.18575578820761
116,61.766685338631525
117,17.409493852219722
118,62.976695460487555
119,22.90904459649779
120,23.220459590407415
121,28.367538514635175
122,28.670580340624692
123,20.511765884061266
124,15.511251738054005
125,18.08660896157192
126,29.131266395716164
127,20.816605292425113
128,21.621224197537593
129,33.4332860392845
130,55.891725519000346
131,21.688995315157843
132,30.593944139149787
133,54.23680012505234
134,70.12581369820562
135,49.944764521475015
136,49.35556332578601
137,40.58588043922205
138,19.042143757108782
139,42.53463438130414
140,37.179460624904216
141,29.6612558778388
142,44.90936005519757
143,28.22172696728308
144,37.194001239756346
145,41.90921211142803
146,23.76587188946929
147,15.236768421597645
148,11.77048575783385
149,47.780714086914415
150,88.24650788470984
151,37.092145849580575
152,30.387379899274915
153,82.1721190116036
154,45.20992468511303
155,54.82752176468624
156,12.038527167541567
157,64.02348425341839
158,20.893988176163084
159,49.8432087103695
160,40.8263285462225
161,36.478885549165156
162,25.719886630893438
163,83.99562574839187
164,25.883669906257342
165,74.68490523154223
166,25.987171552853926
167,31.312346673272387
168,21.133062939535037
169,57.7485209045796
170,23.62664288400394
171,21.117949782834106
172,19.686329960192868
173,57.4481400823419
174,16.64803259389264
175,49.3854547134569
176,44.862785420318204
177,100.64574452739106
178,53.498286576923824
179,36.49212770743006
180,49.77601649104048
181,12.915275754937909
182,10.633835692658671
183,38.41064475014466
184,28.20133455948425
185,15.990099373122977
186,23.254087190919353
187,37.85692288300108
188,66.65271842880514
189,16.554560578155762
190,27.724528759737193
191,18.945410299821205
192,21.856939549068002
193,77.65374670358393
194,35.308996764638515
195,165.20574123479165
196,37.63633677915328
197,29.61046246142547
198,71.739995079031
199,19.548791859291324
200,16.24888161831927
201,36.48180965765591
202,36.491813077078284
203,13.70469676608324
204,19.97807131164901
205,40.15901640527886
206,60.679540612435176
207,39.35893994820178
208,29.034739398762003
209,47.39277475327045
210,33.0841546714221
211,66.04295402159505
212,50.34614989106039
213,47.45639235527147
214,4.979959839195493
215,37.59289650013663
216,62.96027826062606
217,20.129573519934965
218,20.83666640004266
219,14.87716536377424
220,24.002558343175497
221,49.882454422965786
222,24.047133101257835
223,29.16779541655114
224,27.71393114750186
225,15.845666439993499
226,47.597379094565575
227,81.48081111921482
228,23.74114793482316
229,25.287479402052824
230,20.53962239355038
231,47.854523946904685
232,20.936220096831207
233,39.312561651823785
234,55.517817399286216
235,36.48438353351702
236,24.614665819364983
237,19.968593064978535
238,47.423255549451305
239,21.195745041001445
240,15.595620018926272
241,32.514976667143465
242,34.61119134247032
243,70.67638374670987
244,35.04647370490983
245,14.504450522764394
246,34.12711332570598
247,62.713837951869735
248,29.28097327187963
249,15.226140601768764
250,39.6617148315176
251,36.34152029787659
252,26.682701734175886
253,27.743489347974982
254,40.41512805568697
255,39.74822984610157
256,23.292881602183392
257,28.881121721969038
258,28.493451312130784
259,12.642595749003736
260,91.99168889062588
261,8.222167326343568
262,49.28741611968618
263,18.05615215215778
264,62.607036550542986
265,66.053443167647
266,49.78881326087142
267,74.51200213078737
268,44.97360175502932
269,38.664860384739896
270,25.639401243084755
271,15.791982127250185
272,40.030723693261
273,16.14527642188006
274,29.07244221856369
275,26.9163205451323
276,55.78846452293214
277,12.014789736561896
278,46.82717931097518
