,Std_CP
0,20.08746097146329
1,21.310315686443282
2,30.446541722074247
3,25.29512003614723
4,17.654971695012257
5,29.786237980138527
6,44.30344368049982
7,40.628945809033034
8,21.17422551327336
9,14.22867430275193
10,23.22416993060284
11,11.188762478357532
12,45.52845900873591
13,19.959906048435343
14,12.665943409354849
15,36.285752995429824
16,25.542281872716583
17,18.435322376110246
18,11.265761355424626
19,9.563250976042045
20,26.79871758812007
21,11.232707507485353
22,17.606036768217045
23,20.566696973268314
24,40.676104220358354
25,31.72520300560938
26,16.54235359208572
27,11.588149388875278
28,20.84789966962909
29,14.566682370880391
30,10.40318174772461
31,33.3863209798778
32,76.06039516148475
33,4.973458969132756
34,19.00655128989696
35,17.566349605931265
36,26.027766828869566
37,11.735984548955974
38,12.623422929285578
39,13.5159388852161
40,64.13863250104791
41,9.221491063591477
42,47.91239901943943
43,59.709086112903464
44,11.501142641115356
45,88.06022026782026
46,22.095511766230725
47,40.49289749418716
48,18.902160370356267
49,75.48906126669823
50,23.153886045853945
51,14.613509361903635
52,83.19476560198378
53,46.2837710665659
54,46.97979586494809
55,34.09685859619669
56,16.03672071498168
57,7.752959072782239
58,25.263392009346706
59,27.24847090511074
60,20.401233753891628
61,19.301478320008624
62,9.710532655032086
63,22.778968595096888
64,12.546548251047891
65,50.542984451958546
66,14.36162979109301
67,10.656837327189612
68,25.770997474356943
69,40.27726206833397
70,32.77310681965085
71,36.05113963510095
72,13.387209989551513
73,18.949822324471338
74,14.319914620944196
75,14.786297072126251
76,32.62786079642412
77,28.861110781287564
