,WhiteWL
0,0
1,1
2,0
3,0
4,1
5,0
6,0
7,1
8,0
9,0
10,-1
11,0
12,0
13,0
14,1
15,1
16,0
17,0
18,1
19,0
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,1
29,-1
30,0
31,0
32,0
33,0
34,0
35,-1
36,1
37,-1
38,1
39,0
40,0
41,0
42,1
43,1
44,0
45,-1
46,1
47,1
48,0
49,1
50,0
51,-1
52,-1
53,0
54,-1
55,0
56,0
57,-1
58,0
59,1
60,0
61,0
62,1
63,0
64,0
65,0
66,-1
67,0
68,0
69,0
70,-1
71,0
72,0
73,1
74,0
75,-1
76,-1
77,-1
78,0
79,1
80,0
81,-1
82,1
83,0
84,1
85,-1
86,1
87,1
88,-1
89,0
90,-1
91,0
92,1
93,1
94,0
95,-1
96,-1
97,0
98,1
99,1
100,0
101,0
102,1
103,-1
104,0
105,1
106,1
107,0
108,0
109,-1
110,1
111,1
112,0
113,1
114,0
115,-1
116,0
117,1
118,0
119,1
120,1
121,-1
122,0
123,1
124,1
125,0
126,1
127,0
128,0
129,0
130,0
131,1
132,0
133,-1
134,-1
135,0
136,-1
137,1
138,1
139,0
140,1
141,1
142,1
143,-1
144,-1
145,1
146,-1
147,0
148,1
149,0
150,0
151,0
152,0
