,WhiteWL
0,0
1,0
2,1
3,-1
4,1
5,0
6,1
7,0
8,1
9,-1
10,1
11,-1
12,0
13,0
14,0
15,0
16,1
17,1
18,-1
19,0
20,1
21,0
22,1
23,1
24,-1
25,1
26,1
27,-1
28,0
29,0
30,0
31,-1
32,0
33,0
34,1
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,-1
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,-1
53,0
54,-1
55,-1
56,1
57,0
58,1
59,0
60,1
61,-1
62,0
63,0
64,0
65,0
66,1
67,0
68,0
69,1
70,0
71,-1
72,0
73,1
74,0
75,0
76,0
77,-1
78,0
79,1
80,0
81,0
82,-1
83,0
84,1
85,0
86,1
87,0
88,0
89,0
90,-1
91,0
92,1
93,1
94,-1
95,0
96,0
97,1
98,0
99,1
100,0
101,0
102,0
103,0
104,0
105,1
106,1
107,-1
108,1
109,0
110,0
111,0
112,-1
113,-1
114,-1
115,0
116,-1
117,0
118,-1
119,1
120,1
121,0
122,1
123,-1
124,1
125,0
126,1
127,0
128,-1
129,1
130,0
131,1
132,1
