,WhiteWL
0,0
1,0
2,1
3,-1
4,0
5,-1
6,0
7,-1
8,0
9,1
10,0
11,-1
12,1
13,0
14,1
15,-1
16,0
17,1
18,1
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,-1
32,0
33,0
34,1
35,0
36,1
37,1
38,0
39,1
40,-1
41,0
42,0
43,-1
44,0
45,1
46,0
47,0
48,0
49,-1
50,1
51,0
52,1
53,0
54,0
55,-1
56,-1
57,0
58,1
59,0
60,0
61,0
62,-1
63,-1
64,-1
65,-1
66,-1
67,0
68,0
69,0
70,1
71,1
72,0
73,0
74,0
75,0
76,0
77,-1
78,0
79,0
80,0
81,0
82,1
83,1
84,0
85,1
86,1
87,1
88,-1
89,0
90,1
91,0
92,1
93,0
94,0
95,0
96,-1
97,-1
98,1
99,0
100,1
101,1
102,1
103,-1
104,0
105,-1
106,1
107,-1
108,1
109,0
110,1
111,0
112,-1
113,1
114,0
115,1
116,-1
117,1
118,-1
119,1
120,0
121,0
122,0
123,0
124,-1
125,-1
126,-1
127,1
128,1
129,0
130,1
131,0
132,1
133,0
134,-1
135,0
136,-1
137,-1
138,1
139,0
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,-1
148,1
149,1
150,0
151,1
152,1
153,1
154,-1
155,1
156,1
157,1
158,1
159,-1
160,1
161,1
162,-1
163,0
164,1
165,1
166,0
167,0
168,0
169,-1
170,0
171,1
172,1
173,0
174,0
175,0
176,-1
177,-1
178,0
179,0
180,1
181,0
182,0
183,1
184,0
185,-1
186,0
187,1
188,0
189,0
190,1
191,0
192,0
193,-1
194,0
195,0
196,0
197,-1
198,0
199,0
200,-1
201,0
202,1
203,1
204,-1
205,-1
206,1
207,1
208,1
209,1
210,1
211,-1
212,0
213,1
214,-1
215,0
216,0
217,-1
218,-1
219,-1
220,-1
221,-1
222,1
223,1
224,-1
225,-1
226,1
227,0
228,0
229,0
230,0
231,0
232,0
233,-1
234,1
235,1
236,-1
237,0
238,0
239,0
240,-1
241,0
242,1
243,0
244,1
