,WhiteWL
0,0
1,0
2,0
3,1
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,0
15,-1
16,1
17,0
18,1
19,-1
20,0
21,1
22,0
23,-1
24,0
25,0
26,0
27,1
28,0
29,1
30,-1
31,1
32,-1
33,0
34,0
35,1
36,0
37,0
38,-1
39,0
40,0
41,0
42,0
43,1
44,0
45,0
46,1
47,1
48,1
49,1
50,1
51,1
52,0
53,0
54,1
55,-1
56,0
57,-1
58,1
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,0
69,0
70,0
71,-1
72,0
73,0
74,0
75,0
76,-1
77,1
78,0
79,0
80,0
81,0
82,-1
83,0
84,-1
85,0
86,-1
87,1
88,1
89,1
90,1
91,0
92,0
93,-1
94,0
95,0
96,1
97,-1
98,0
99,-1
100,1
101,0
102,0
103,-1
104,0
105,1
106,-1
107,0
108,1
109,0
110,0
111,1
112,0
113,0
114,0
115,0
116,1
117,1
118,0
119,0
120,-1
121,-1
122,0
123,-1
124,0
125,0
126,1
127,0
128,-1
129,-1
130,1
131,0
132,1
133,1
134,0
135,-1
136,-1
137,0
138,-1
139,-1
140,1
141,0
142,0
143,1
144,1
145,1
146,1
147,0
148,0
149,1
150,-1
151,-1
152,1
153,-1
154,1
155,1
156,0
157,0
158,0
159,0
160,1
161,1
162,0
163,0
164,1
165,1
166,0
167,-1
168,0
169,0
170,0
171,0
172,1
173,-1
174,0
175,0
176,0
177,0
178,0
179,-1
180,0
181,-1
182,-1
183,0
184,-1
185,0
186,0
187,0
188,1
189,1
190,0
191,0
192,1
193,1
194,1
195,1
196,1
197,0
198,1
199,0
200,0
201,1
202,0
203,-1
204,0
205,0
