,WhiteWL
0,1
1,0
2,1
3,-1
4,0
5,1
6,1
7,0
8,1
9,0
10,1
11,1
12,0
13,0
14,1
15,-1
16,0
17,0
18,-1
19,0
20,-1
21,1
22,1
23,1
24,0
25,0
26,1
27,0
28,1
29,0
30,1
31,-1
32,0
33,0
34,0
35,1
36,0
37,1
38,1
39,0
40,1
41,1
42,1
43,1
44,0
45,-1
46,0
47,-1
48,1
49,1
50,1
51,-1
52,-1
53,1
54,1
55,1
56,0
57,0
58,1
59,-1
60,0
61,1
62,0
63,1
64,1
65,0
66,0
67,0
68,0
69,-1
70,0
71,-1
72,0
73,0
74,-1
75,-1
76,1
77,0
78,0
79,0
80,1
81,1
82,1
83,0
84,-1
85,-1
86,1
87,0
88,0
89,-1
90,1
91,1
92,0
93,0
94,1
95,-1
96,1
97,1
98,1
99,0
100,1
