,WhiteWL
0,1
1,0
2,1
3,0
4,0
5,1
6,0
7,0
8,1
9,1
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,1
18,0
19,1
20,1
21,0
22,0
23,1
24,1
25,0
26,0
27,1
28,1
29,0
30,1
31,0
32,-1
33,0
34,0
35,0
36,1
37,0
38,0
39,1
40,1
41,0
42,-1
43,0
44,1
45,0
46,1
47,1
48,1
49,1
50,-1
51,0
52,1
53,0
54,0
55,-1
56,-1
57,-1
58,1
59,1
60,-1
61,0
62,1
63,0
64,0
65,-1
66,1
67,0
68,1
69,1
70,1
71,0
72,0
73,0
74,0
75,0
76,1
77,1
78,0
79,1
80,-1
81,1
82,0
83,1
84,0
85,0
86,1
87,0
88,0
89,0
90,0
91,1
92,-1
93,1
94,0
95,1
96,0
97,0
98,1
99,1
100,1
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,-1
109,0
110,0
111,0
112,1
113,0
114,1
115,1
116,1
117,0
118,1
119,0
120,0
121,-1
122,0
123,0
124,1
125,0
126,1
127,0
128,1
129,0
130,1
131,0
132,0
133,0
134,0
135,0
136,0
137,-1
138,-1
139,1
140,1
141,1
142,1
143,-1
144,-1
145,-1
146,1
147,-1
148,1
149,-1
150,1
151,-1
152,0
153,1
154,1
155,0
156,0
157,-1
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,-1
166,1
167,0
168,-1
169,0
170,1
171,0
172,0
173,-1
174,1
175,0
176,1
177,0
178,1
179,1
180,0
181,1
182,-1
183,-1
184,-1
185,1
186,1
187,1
188,0
189,0
190,1
191,-1
192,0
193,1
194,0
195,1
196,-1
197,0
198,0
199,1
200,0
201,0
202,0
203,-1
204,0
205,0
206,1
207,0
208,1
209,0
210,0
211,1
212,-1
213,0
214,0
215,0
216,0
217,1
218,0
219,-1
220,-1
221,0
222,1
223,-1
224,-1
225,1
226,1
227,-1
228,1
229,-1
230,-1
231,1
232,-1
233,1
234,1
235,0
236,1
237,-1
238,1
239,0
240,1
241,0
242,0
243,-1
244,1
245,1
246,0
247,1
248,0
249,0
250,1
251,0
252,0
253,0
254,0
255,0
256,0
257,-1
258,0
259,0
260,0
261,0
262,0
263,-1
264,-1
265,0
266,1
267,-1
268,1
269,0
270,1
271,-1
272,-1
273,0
274,-1
275,-1
276,-1
277,1
278,-1
279,0
280,-1
281,1
282,1
