,WhiteWL
0,0
1,1
2,0
3,0
4,0
5,0
6,-1
7,1
8,0
9,0
10,0
11,0
12,0
13,1
14,0
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,1
24,1
25,1
26,0
27,0
28,0
29,-1
30,0
31,1
32,0
33,1
34,-1
35,0
36,0
37,-1
38,-1
39,1
40,0
41,0
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,-1
50,1
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,-1
61,-1
62,0
63,1
64,0
65,0
66,1
67,0
68,1
69,0
70,0
71,0
72,1
73,1
74,0
75,0
76,0
77,0
78,1
79,0
80,0
81,-1
82,1
83,0
84,-1
85,1
86,0
87,1
88,0
89,0
90,1
91,0
92,1
93,0
94,0
95,-1
96,0
97,0
98,0
99,0
100,0
101,0
102,-1
103,0
104,0
105,-1
106,1
107,0
108,-1
109,0
110,0
111,0
112,-1
113,0
114,0
115,1
116,-1
117,0
118,-1
119,1
120,0
121,0
122,0
123,0
124,1
125,0
126,0
127,1
128,0
129,0
