,WhiteWL
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,-1
9,1
10,0
11,0
12,0
13,-1
14,0
15,1
16,0
17,-1
18,1
19,1
20,1
21,-1
22,0
23,1
24,-1
25,-1
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,1
35,0
36,0
37,0
38,1
39,-1
40,1
41,1
42,-1
43,0
44,0
45,0
46,1
47,0
48,0
49,1
50,1
51,-1
52,1
53,0
54,0
55,-1
56,1
57,0
58,0
59,-1
60,0
61,-1
62,1
63,0
64,0
65,1
66,0
67,0
68,0
69,1
70,0
71,1
72,1
73,-1
74,1
75,1
76,0
77,-1
78,-1
79,1
80,0
81,-1
82,0
83,0
84,0
85,0
86,0
87,1
88,0
89,1
90,-1
91,0
92,-1
93,1
94,0
95,1
96,1
97,-1
98,0
99,1
100,0
101,1
102,1
103,0
104,1
105,0
106,-1
107,1
108,-1
109,1
110,1
111,-1
112,-1
113,1
114,1
115,1
116,-1
117,0
118,1
119,0
120,-1
121,1
122,1
123,0
124,-1
125,1
126,1
127,0
128,1
129,0
130,0
131,0
132,1
133,-1
134,0
135,1
136,0
137,-1
138,0
139,0
140,-1
141,-1
142,1
143,-1
144,0
145,1
146,-1
147,1
148,1
149,-1
150,-1
151,0
152,1
153,1
154,-1
155,1
156,0
157,0
158,-1
159,0
160,1
161,1
162,0
163,0
164,-1
165,1
166,0
167,1
168,0
169,1
170,-1
171,-1
172,1
173,1
174,0
175,1
176,0
177,0
178,1
179,1
180,1
181,1
182,0
183,1
184,1
185,0
186,0
187,1
188,0
189,0
190,0
191,-1
192,0
193,0
194,1
195,0
196,0
197,1
198,-1
199,1
200,-1
201,-1
202,1
203,1
204,-1
205,1
206,-1
207,1
208,-1
209,0
210,0
211,0
212,0
213,1
214,0
215,-1
216,1
217,1
218,0
219,1
220,-1
221,-1
222,1
223,0
224,-1
225,0
226,0
227,1
228,0
229,-1
230,-1
231,-1
232,1
233,-1
234,0
235,0
236,-1
237,0
238,1
239,0
240,0
241,-1
242,1
243,1
244,-1
245,1
246,-1
247,1
248,0
249,1
250,1
251,0
252,0
253,1
254,0
255,1
256,-1
257,0
258,1
