,WhiteWL
0,0
1,0
2,1
3,0
4,1
5,1
6,1
7,-1
8,0
9,0
10,-1
11,1
12,-1
13,1
14,-1
15,0
16,-1
17,1
18,0
19,1
20,-1
21,1
22,0
23,1
24,0
25,1
26,0
27,1
28,1
29,1
30,0
31,1
32,0
33,1
34,0
35,0
36,1
37,-1
38,-1
39,1
40,-1
41,0
42,-1
43,1
44,-1
45,0
46,-1
47,1
48,-1
49,1
50,-1
51,1
52,0
53,1
54,-1
55,1
56,0
57,0
58,-1
59,0
60,0
61,0
62,1
63,0
64,1
65,1
66,0
67,-1
68,1
69,0
70,-1
71,-1
72,0
73,0
74,-1
75,1
76,-1
77,0
78,1
79,1
80,1
81,-1
82,1
83,-1
84,1
85,-1
86,1
87,1
88,1
89,-1
90,-1
91,1
92,-1
93,1
94,0
95,0
96,-1
97,1
98,-1
99,1
100,-1
101,0
102,1
103,0
104,0
105,1
106,-1
107,1
108,-1
109,1
110,0
111,1
112,-1
113,1
114,0
115,1
116,-1
117,0
118,1
119,-1
120,0
121,0
122,1
123,-1
124,0
125,0
126,1
127,1
128,-1
129,0
130,1
131,1
132,0
133,1
134,0
135,1
136,1
137,1
138,0
139,1
140,-1
141,1
142,1
143,1
144,0
145,0
146,1
147,0
148,0
149,0
150,1
151,-1
152,0
153,-1
154,0
155,-1
156,0
157,1
158,-1
159,1
160,-1
161,0
162,-1
163,0
164,0
165,0
166,-1
167,0
168,1
169,-1
170,1
171,-1
172,0
173,0
174,1
175,-1
176,1
177,1
178,1
179,1
180,1
181,1
182,-1
183,1
184,-1
185,0
186,-1
187,-1
188,1
189,0
190,1
191,0
192,0
193,0
194,1
195,-1
196,1
197,-1
198,1
199,-1
200,0
201,0
202,1
203,-1
204,1
205,-1
206,-1
207,0
208,0
209,1
210,-1
211,1
212,-1
213,0
214,0
215,1
216,-1
217,1
218,-1
219,0
220,-1
221,0
222,0
223,1
224,-1
225,0
226,1
227,1
228,1
229,0
230,0
231,-1
232,0
233,0
234,1
235,-1
236,1
237,-1
238,1
239,-1
240,0
241,1
242,-1
243,0
244,-1
245,0
246,-1
247,-1
248,-1
249,0
250,1
251,-1
252,1
253,-1
254,1
255,-1
256,1
257,-1
258,-1
259,0
260,-1
261,0
262,1
263,-1
264,1
265,1
266,-1
267,1
268,0
269,1
270,0
271,0
272,-1
273,1
274,0
275,-1
276,-1
277,0
278,1
