,WL
0,1
1,1
2,0
3,-1
4,-1
5,-1
6,1
7,-1
8,0
9,0
10,1
11,0
12,1
13,0
14,1
15,0
16,1
17,0
18,0
19,0
20,0
21,1
22,0
23,1
24,0
25,0
26,0
27,0
28,1
29,0
30,0
31,0
32,-1
33,1
34,0
35,1
36,0
37,-1
38,0
39,0
40,-1
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,-1
50,-1
51,0
52,-1
53,0
54,-1
55,-1
56,0
57,0
58,0
59,1
60,0
61,0
62,-1
63,1
64,0
65,1
66,0
67,-1
68,1
69,1
70,0
71,-1
72,0
73,1
74,1
75,-1
76,1
77,1
78,-1
79,1
80,-1
81,-1
82,0
83,0
84,-1
85,-1
86,1
87,1
88,1
89,0
90,1
91,-1
92,-1
93,0
94,0
95,1
96,1
97,1
98,0
99,1
100,0
101,1
102,0
103,-1
104,0
105,1
106,0
107,0
108,0
109,0
110,1
111,0
112,-1
113,-1
114,1
115,0
116,1
117,1
118,0
119,-1
120,1
121,1
122,0
123,0
124,0
125,1
126,0
127,0
128,1
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,1
139,1
140,0
141,0
142,-1
143,1
144,1
145,0
146,0
147,0
148,1
149,0
150,1
151,0
152,1
153,1
154,1
155,1
156,-1
157,1
158,1
159,-1
160,0
161,0
162,0
163,0
164,1
165,-1
166,0
167,0
168,1
169,0
170,-1
171,0
172,1
173,1
174,1
175,1
176,0
177,0
178,1
179,0
180,1
181,1
182,1
183,1
184,-1
185,1
186,0
187,1
188,0
189,0
190,1
191,1
192,0
193,1
194,0
195,0
196,0
197,-1
198,1
199,0
200,1
201,1
202,1
203,1
204,-1
205,0
206,-1
207,-1
208,0
209,1
210,-1
211,0
212,0
213,1
214,1
215,1
216,0
217,0
218,0
219,0
220,0
221,-1
222,1
223,0
224,1
225,-1
226,1
227,-1
228,0
229,0
230,1
231,0
232,0
233,0
234,0
235,0
236,1
237,1
238,1
239,0
240,0
241,1
242,1
243,1
244,1
245,0
246,1
247,1
248,0
249,1
250,0
251,0
252,0
253,0
254,-1
255,1
256,0
257,0
258,0
259,0
260,-1
261,1
262,1
263,0
264,-1
265,0
266,0
267,0
268,0
269,1
270,1
271,0
272,1
273,1
274,1
275,1
276,1
277,0
278,1
279,-1
280,1
281,1
282,1
283,-1
284,0
285,1
286,0
287,1
288,0
289,0
290,0
291,0
292,1
293,1
294,-1
295,0
296,-1
297,-1
298,0
299,0
300,-1
301,1
302,0
303,0
304,0
305,0
306,0
307,-1
308,0
309,1
310,-1
311,-1
312,1
313,1
314,0
