,WL
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,-1
12,0
13,1
14,0
15,0
16,0
17,0
18,0
19,-1
20,0
21,1
22,1
23,0
24,-1
25,-1
26,-1
27,-1
28,0
29,1
30,-1
31,1
32,0
33,1
34,0
35,-1
36,-1
37,0
38,-1
39,0
40,0
41,0
42,0
43,-1
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,-1
52,0
53,0
54,1
55,1
56,1
57,0
58,0
59,0
60,-1
61,0
62,1
63,0
64,0
65,1
66,0
67,-1
68,1
69,1
70,1
71,0
72,0
73,-1
74,-1
75,-1
76,0
77,1
78,1
79,-1
80,1
81,-1
82,1
83,1
84,1
85,0
86,0
87,1
88,0
89,1
90,0
91,0
92,1
93,0
94,0
95,1
96,0
97,0
98,1
99,0
100,0
101,1
102,1
103,0
104,0
105,0
106,0
107,1
108,0
109,1
110,0
111,-1
112,1
113,1
114,1
115,0
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,0
126,1
127,1
128,1
129,1
130,0
131,1
132,1
133,0
134,-1
135,0
136,1
137,-1
138,1
139,1
140,1
141,1
142,0
143,-1
144,1
145,1
146,-1
147,0
148,0
149,1
150,0
151,1
152,-1
153,1
154,0
155,1
156,1
157,1
158,1
159,-1
160,0
161,1
162,-1
163,0
164,0
165,-1
166,-1
167,1
168,1
169,1
170,1
171,-1
172,1
173,1
174,1
175,1
176,0
177,0
178,-1
179,0
180,0
181,-1
182,0
183,0
184,0
185,0
186,0
187,0
188,-1
189,0
190,-1
191,0
192,1
193,1
194,0
195,0
196,0
197,1
198,0
199,1
200,-1
201,0
202,0
203,1
204,1
205,1
206,-1
207,-1
208,0
209,0
210,1
211,-1
212,1
213,0
214,1
215,1
216,0
217,1
218,1
219,-1
220,1
221,1
222,-1
223,0
224,0
225,1
226,1
227,-1
228,-1
229,0
230,0
231,1
232,0
233,1
234,1
235,1
236,1
237,1
238,-1
239,1
240,1
241,0
242,-1
243,1
244,1
245,0
246,0
247,0
248,0
249,0
250,-1
251,0
252,-1
253,-1
254,1
255,0
256,0
257,-1
258,0
259,1
260,1
261,1
262,1
263,1
264,-1
265,1
266,1
267,1
268,0
269,0
270,0
271,-1
272,-1
273,1
274,1
275,-1
276,0
277,0
278,-1
279,0
280,1
281,-1
282,-1
283,0
284,-1
285,1
286,-1
287,0
288,1
289,1
290,1
291,-1
292,1
293,1
294,0
295,0
296,-1
297,1
298,1
299,1
300,0
301,-1
