,WL
0,1
1,0
2,0
3,0
4,1
5,1
6,0
7,0
8,0
9,-1
10,0
11,1
12,0
13,1
14,1
15,0
16,1
17,0
18,0
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,-1
29,-1
30,0
31,1
32,1
33,0
34,1
35,0
36,0
37,-1
38,0
39,1
40,1
41,0
42,0
43,1
44,0
45,0
46,0
47,1
48,1
49,0
50,0
51,1
52,1
53,0
54,0
55,-1
56,0
57,1
58,0
59,1
60,0
61,1
62,1
63,0
64,0
65,0
66,0
67,0
68,1
69,-1
70,-1
71,1
72,0
73,-1
74,0
75,1
76,0
77,1
78,0
79,1
80,-1
81,0
82,0
83,1
84,0
85,0
86,1
87,1
88,1
89,-1
90,0
91,0
92,1
93,1
94,1
95,-1
96,-1
97,1
98,0
99,0
100,-1
101,0
102,0
103,0
104,1
105,0
106,1
107,1
108,1
109,0
110,0
111,1
112,0
