,WL
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,0
12,1
13,-1
14,0
15,1
16,1
17,1
18,0
19,-1
20,0
21,1
22,1
23,1
24,0
25,1
26,0
27,1
28,-1
29,0
30,0
31,1
32,0
33,1
34,1
35,1
36,0
37,1
38,-1
39,0
40,-1
41,1
42,1
43,1
44,1
45,-1
46,0
47,0
48,-1
49,1
50,-1
51,-1
52,1
53,-1
54,0
55,1
56,0
57,0
58,1
59,1
60,1
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,-1
69,0
70,0
71,0
72,0
73,0
74,-1
75,1
76,1
77,0
78,1
79,1
80,1
81,-1
82,1
83,-1
84,1
85,-1
86,1
87,0
88,1
89,-1
90,-1
91,1
92,-1
93,0
94,0
95,0
96,-1
97,0
98,0
99,0
100,0
101,0
102,-1
103,-1
104,0
105,-1
106,1
107,-1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,0
116,0
117,0
118,1
119,1
120,-1
121,1
122,0
123,1
124,0
125,1
126,1
127,1
128,1
129,1
130,0
131,1
132,0
133,1
134,1
135,0
136,1
137,1
138,-1
139,0
140,1
141,0
142,0
143,0
144,-1
145,-1
146,0
147,0
148,1
149,1
150,-1
151,1
152,1
153,-1
154,1
155,1
156,1
157,-1
158,1
159,1
160,-1
161,1
162,1
163,1
164,1
165,1
166,0
167,-1
168,0
169,0
170,0
171,0
172,1
173,0
174,-1
175,0
176,0
177,0
178,-1
179,0
180,-1
181,0
182,0
183,1
184,-1
185,-1
186,0
187,0
188,1
189,1
190,0
191,1
192,0
193,0
194,1
195,0
196,0
197,-1
198,0
199,0
200,-1
201,0
202,0
203,0
204,-1
205,-1
206,1
207,0
208,1
209,1
210,-1
211,1
212,1
213,1
214,1
215,1
216,0
217,1
218,-1
219,-1
220,1
221,1
222,0
223,0
224,1
225,0
226,0
227,0
228,0
229,0
230,1
231,-1
232,0
233,1
234,0
235,1
236,-1
237,0
238,-1
239,0
240,1
241,0
242,0
243,1
244,0
245,-1
