,WL
0,0
1,0
2,1
3,0
4,0
5,0
6,-1
7,0
8,0
9,0
10,0
11,0
12,1
13,1
14,0
15,1
16,-1
17,0
18,1
19,1
20,1
21,0
22,1
23,-1
24,1
25,1
26,0
27,0
28,0
29,1
30,0
31,0
32,0
33,0
34,1
35,0
36,1
37,0
38,1
39,-1
40,0
41,-1
42,0
43,-1
44,-1
45,-1
46,1
47,-1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,0
64,0
65,0
66,0
67,-1
68,0
69,0
70,-1
71,1
72,0
73,0
74,1
75,1
76,0
77,-1
78,0
79,0
80,1
81,0
82,0
83,1
84,0
85,0
86,0
87,1
88,0
89,0
90,0
91,0
92,1
93,0
94,-1
95,1
96,1
97,0
98,0
99,1
100,0
101,0
102,0
103,0
104,0
105,1
106,-1
107,0
108,0
109,1
110,-1
111,-1
112,0
113,1
114,0
115,-1
116,1
117,0
118,1
119,-1
120,1
121,0
122,1
123,1
124,0
125,0
126,-1
127,0
128,0
129,0
130,1
131,0
132,0
133,-1
134,1
135,-1
136,0
137,0
138,0
139,-1
140,0
141,1
142,0
143,0
144,0
145,0
146,-1
147,0
148,-1
149,0
150,0
151,0
152,0
153,-1
154,-1
155,0
156,1
157,0
158,1
159,0
160,0
161,1
162,0
163,0
164,0
165,1
166,1
167,1
168,1
169,0
170,0
171,1
172,0
173,-1
174,0
175,-1
176,0
