,WL
0,1
1,0
2,1
3,0
4,0
5,1
6,-1
7,1
8,0
9,1
10,-1
11,1
12,1
13,1
14,0
15,0
16,0
17,1
18,-1
19,0
20,1
21,0
22,0
23,1
24,0
25,0
26,0
27,-1
28,1
29,1
30,1
31,1
32,-1
33,0
34,1
35,0
36,-1
37,1
38,-1
39,1
40,-1
41,0
42,-1
43,1
44,-1
45,-1
46,-1
47,1
48,-1
49,-1
50,0
51,0
52,0
53,1
54,0
55,1
56,0
57,-1
58,1
59,1
60,0
61,-1
62,-1
63,-1
64,1
65,0
66,-1
67,-1
68,1
69,1
70,-1
71,1
72,1
73,0
74,1
75,0
76,0
77,0
78,1
79,0
80,0
81,1
82,-1
83,1
84,-1
85,0
86,0
87,-1
88,-1
89,0
90,1
91,-1
92,0
93,0
94,0
95,-1
96,0
97,-1
98,0
99,-1
100,1
101,1
102,1
103,1
104,0
105,1
106,1
107,0
108,1
109,1
110,-1
111,-1
112,1
113,-1
114,1
115,0
116,1
117,1
118,1
119,0
120,1
121,1
122,-1
123,-1
124,0
125,-1
126,1
127,1
128,-1
129,-1
130,0
131,0
132,-1
133,0
134,1
135,0
136,0
137,1
138,0
139,-1
140,1
141,0
142,1
143,1
144,0
145,0
146,0
147,0
148,0
149,1
